step,time(s),dt(s),strain_eq,sigma_vm(Pa),s_xx(Pa),s_yy(Pa),s_zz(Pa),s_yz(Pa),s_zx(Pa),s_xy(Pa),density(1/m^2),Lpxx,Lpxy,Lpxz,Lpyx,Lpyy,Lpyz,Lpzx,Lpzy,Lpzz,epdot_eq(1/s),ep_eq(-)
1,2e-11,2e-11,1.4252925490027608e-08,2078.460969082653,0.0,0.0,0.0,0.0,0.0,1200.0,956686211770.9608,-189.92740580739593,53.50132869814579,172.64722597458234,11.593144266450746,196.9342357200509,-186.54080511850813,-151.56282027029695,322.3887992651297,-7.006829912459565,240.1011847601492,4.802023695202984e-09
2,4.3999999999999997e-11,2.3999999999999998e-11,3.135451251147842e-08,4572.614131981836,0.0,0.0,0.0,0.0,0.0,2640.0,956689444596.5656,-192.5642957193119,51.2620582341234,172.69414969448195,13.289217239397331,192.99554520704922,-182.6871214202733,-149.9719036332302,326.0164337417535,-0.43124948777781524,240.75119125035695,1.058005228521155e-08
3,7.28e-11,2.8799999999999997e-11,5.20025463188112e-08,7565.597927460856,0.0,0.0,0.0,0.0,0.0,4368.0,956696314736.8026,-197.69536310694969,52.54511789558905,173.44091272886632,18.285548571705682,194.61989010407552,-184.1638572690827,-149.97491736163593,323.30172245987575,3.075473002694088,244.17658588627353,1.761233795873623e-08
4,1.0735999999999999e-10,3.4559999999999995e-11,7.669631629926284e-08,11157.17848203568,0.0,0.0,0.0,0.0,0.0,6441.6,956708708826.6154,-194.40481157579424,50.13701532560989,170.69369976785603,16.23481282281312,196.80063879354216,-180.4711949492661,-149.88028974464464,322.8630334862658,-2.395827217731283,243.7025356545367,2.6034697590957014e-08
5,1.4883199999999998e-10,4.147199999999999e-11,1.066606188131105e-07,15467.07514752547,0.0,0.0,0.0,0.0,0.0,8929.92,956728497286.3596,-178.07818200959676,46.344350011829775,169.55958353605166,44.15170459292353,187.14998147237478,-186.0712847197897,-136.28726194472674,318.8618986205377,-9.071799462803986,231.34997619777545,3.562924380383116e-08
6,1.9859839999999997e-10,4.976639999999999e-11,1.4259542181821234e-07,20638.951146113213,0.0,0.0,0.0,0.0,0.0,11915.903999999999,956761778594.6542,-165.62923884697778,50.48072751503866,167.38580362858963,47.337082004267536,171.80443653147248,-180.92621848400714,-143.16423967741574,320.15322197052217,-6.1751976844987135,218.71979867551033,4.6514140792636075e-08
7,2.5831807999999997e-10,5.971967999999998e-11,1.8573937431522884e-07,26845.202344418507,0.0,0.0,0.0,0.0,0.0,15499.084799999997,956798226520.8445,-158.636515001273,46.32780382843196,175.00467636828114,54.39863493248567,171.8362845956815,-185.00568264040052,-141.82960081204487,317.93244625131905,-13.199769594382689,214.9813159425533,5.935275618670425e-08
8,3.29981696e-10,7.166361599999998e-11,2.3760574373413437e-07,34292.70378238486,0.0,0.0,0.0,0.0,0.0,19798.901759999997,956848381609.3307,-141.17725953992561,52.424471708198105,183.05080911994526,58.7421697546875,162.59139344039025,-184.85909515608049,-141.25702750363766,310.3362008686322,-21.414133900405282,202.89598019635562,7.389301579943948e-08
9,4.1597803519999995e-10,8.599633919999998e-11,2.989383689413345e-07,43229.70550794448,0.0,0.0,0.0,0.0,0.0,24958.682111999995,956901315568.0916,-129.59553469588644,49.1852228182357,177.49022966916823,47.86270338777849,152.3834663883226,-186.5670385048761,-149.87831167764438,319.90224862466044,-22.787931692417132,190.63842110012843,9.028722212491856e-08
10,5.191736422399999e-10,1.0319560703999998e-10,3.7350692391007927e-07,53954.10757861603,0.0,0.0,0.0,0.0,0.0,31150.418534399992,956998125834.9683,-124.25802345831967,54.20943359469811,179.42727387566168,59.04937819341831,157.7561550726456,-187.506462578127,-150.79470157236256,318.22326386516164,-33.498131614311085,194.62154397746667,1.1037131049873528e-07
11,6.430083706879998e-10,1.2383472844799998e-10,4.6302269718486734e-07,66823.39006342189,0.0,0.0,0.0,0.0,0.0,38580.50224127999,957151738982.4697,-125.26624255786027,55.8145235800844,187.7995141902867,55.09464766086861,160.74131596223984,-185.4214346726449,-158.432983322143,326.1250661517963,-35.475073404383096,198.7766882222132,1.3498676770652582e-07
12,7.916100448255998e-10,1.4860167413759998e-10,5.702622121502942e-07,82266.52904518892,0.0,0.0,0.0,0.0,0.0,47496.60268953598,957371311265.9065,-118.96442964730504,55.6559555457548,181.5123516885399,54.8674761345719,156.05940299867902,-180.72665897232582,-150.18813271105094,326.55776074268414,-37.094973351389775,195.1320625931817,1.6398371888579556e-07
