step,time(s),dt(s),strain_eq,sigma_vm(Pa),s_xx(Pa),s_yy(Pa),s_zz(Pa),s_yz(Pa),s_zx(Pa),s_xy(Pa),density(1/m^2),Lpxx,Lpxy,Lpxz,Lpyx,Lpyy,Lpyz,Lpzx,Lpzy,Lpzz,epdot_eq(1/s),ep_eq(-)
1,2e-11,2e-11,1.5917452631607135e-08,2078.460969082653,0.0,0.0,0.0,0.0,0.0,1200.0,2055017897449.058,-279.18444019778633,-892.0687099361984,469.8075967818742,767.5741869738275,396.62681266329815,-453.2620976599609,-674.6646853761622,-186.63787620394717,-120.05026507714386,567.5311980206222,1.1350623960412444e-08
2,4.3999999999999997e-11,2.3999999999999998e-11,3.4962422928782064e-08,4572.614131981836,0.0,0.0,0.0,0.0,0.0,2640.0,2054973623670.4307,-249.65418541621602,-894.3890859240809,476.986492327702,770.2257454551503,375.79286884313865,-453.9665356624925,-674.5910513796651,-226.4578548552961,-126.2315903883891,564.6253217985575,2.490163168357782e-08
3,7.28e-11,2.8799999999999997e-11,5.818164905402122e-08,7565.597927460856,0.0,0.0,0.0,0.0,0.0,4368.0,2054951648310.992,-278.52534197751083,-881.9930085986291,483.82980166461255,768.9693763493235,385.7559692403339,-448.20537185235327,-667.7810720363393,-236.86443520637766,-107.31964652290164,574.9597472222914,4.146047240357981e-08
4,1.0735999999999999e-10,3.4559999999999995e-11,8.523733444995289e-08,11157.17848203568,0.0,0.0,0.0,0.0,0.0,6441.6,2054931667776.3987,-242.88623177505644,-871.2082073053913,473.2714322073125,744.4507312470048,350.94182234458737,-452.4716389608896,-668.5330006892407,-233.10897255752337,-108.14252283679662,551.3355577614971,6.051462927981715e-08
5,1.4883199999999998e-10,4.147199999999999e-11,1.1833795207593152e-07,15467.07514752547,0.0,0.0,0.0,0.0,0.0,8929.92,2054920891059.3396,-255.67976274296302,-824.174368499145,481.5867151926345,730.6126546600507,320.8064643245377,-475.6468364221139,-673.971985142842,-251.24067188944832,-65.21218374852795,553.5384513008514,8.347097593216605e-08
6,1.9859839999999997e-10,4.976639999999999e-11,1.5778354710298235e-07,20638.951146113213,0.0,0.0,0.0,0.0,0.0,11915.903999999999,2054893188350.5884,-237.71857520123186,-810.1883237319885,482.34321083374255,728.7699727129846,302.3840011299089,-468.9385301707779,-660.3277048146314,-254.09654792775578,-64.749904339868,537.0799638276584,1.1019951224399882e-07
7,2.5831807999999997e-10,5.971967999999998e-11,2.049152908185852e-07,26845.202344418507,0.0,0.0,0.0,0.0,0.0,15499.084799999997,2054908073875.249,-224.53766554199422,-815.0397432903707,478.1326563187739,718.6716474919886,318.1608704816732,-458.310965413529,-664.5337270883588,-256.2505537029566,-93.68824030702227,540.2074638269312,1.4246052911735473e-07
8,3.29981696e-10,7.166361599999998e-11,2.6187542711365805e-07,34292.70378238486,0.0,0.0,0.0,0.0,0.0,19798.901759999997,2054945306582.5752,-234.70361610386746,-811.5938129096696,480.42096692351373,711.0993093303282,342.41966082033554,-466.17379042554415,-652.3375394781455,-242.26247853826573,-107.78178027597707,550.5888507552504,1.819177170917603e-07
9,4.1597803519999995e-10,8.599633919999998e-11,3.2958435072721613e-07,43229.70550794448,0.0,0.0,0.0,0.0,0.0,24958.682111999995,2055033579868.9927,-194.9563078141512,-806.1329866029696,465.19588352330675,702.7289771665853,328.27715687051483,-428.10469660425053,-672.689922744986,-282.7022011655624,-133.39372301765283,543.4850778194506,2.2865544419406015e-07
10,5.191736422399999e-10,1.0319560703999998e-10,4.0994302658461187e-07,53954.10757861603,0.0,0.0,0.0,0.0,0.0,31150.418534399992,2055223345608.636,-171.12056157171546,-779.2135705518633,492.4530466096777,692.0519361095666,311.4535609138726,-447.74834169929693,-661.1845622532327,-248.5860776781398,-140.39497996613358,520.5579486462,2.823747377041019e-07
