step,time(s),dt(s),strain_eq,sigma_vm(Pa),s_xx(Pa),s_yy(Pa),s_zz(Pa),s_yz(Pa),s_zx(Pa),s_xy(Pa),density(1/m^2),Lpxx,Lpxy,Lpxz,Lpyx,Lpyy,Lpyz,Lpzx,Lpzy,Lpzz,epdot_eq(1/s),ep_eq(-)
1,2e-11,2e-11,1.7951909689266832e-08,2078.460969082653,0.0,0.0,0.0,0.0,0.0,1200.0,1430428346485.4197,399.58046970176355,203.3747896611611,259.1205595271507,6.34056890446787,-59.62538862642809,-129.5909739388191,-635.021013790546,109.1898825353775,-343.8088100488612,499.5152186104997,9.990304372209994e-09
2,4.3999999999999997e-11,2.3999999999999998e-11,3.986193617980134e-08,4572.614131981836,0.0,0.0,0.0,0.0,0.0,2640.0,1430424917641.0176,412.5631957579503,212.1428220432157,254.32543299507572,13.908538601024173,-52.785199552049384,-134.72313224472185,-628.4093573506723,120.00580476250124,-359.7587114527136,515.1364208771541,2.2353578473261694e-08
3,7.28e-11,2.8799999999999997e-11,6.597205963423763e-08,7565.597927460856,0.0,0.0,0.0,0.0,0.0,4368.0,1430421967895.28,409.50358981642455,200.3601445190603,240.5227575525588,13.059727743374822,-63.57958375052649,-151.05127928580512,-641.4713608085254,125.4572702673168,-345.9090631684225,513.0757399176174,3.713015978288907e-08
4,1.0735999999999999e-10,3.4559999999999995e-11,9.754379431337418e-08,11157.17848203568,0.0,0.0,0.0,0.0,0.0,6441.6,1430433334764.1387,417.5988434731081,201.33355277836773,237.3892056643546,15.345727142993733,-61.862100851765184,-153.06277301404702,-640.5407524631407,117.0279320405455,-355.72391613494443,522.9053534506296,5.5201768798142827e-08
5,1.4883199999999998e-10,4.147199999999999e-11,1.353338270974374e-07,15467.07514752547,0.0,0.0,0.0,0.0,0.0,8929.92,1430447358067.4133,413.2516874562424,204.24929662684235,230.49025001135107,18.71673904463835,-79.81252306211296,-133.7571446218931,-639.2556826739344,98.08038782846782,-333.4278410899259,514.6902322277301,7.654700210909125e-08
6,1.9859839999999997e-10,4.976639999999999e-11,1.8079641687643825e-07,20638.951146113213,0.0,0.0,0.0,0.0,0.0,11915.903999999999,1430445857592.4543,406.6448654347873,208.81850098979393,228.7271672829853,23.138030173962314,-74.48868266614755,-132.96813328053443,-640.0949203114974,93.87417734503,-332.14605339787425,512.1896850474872,1.0203683885103851e-07
7,2.5831807999999997e-10,5.971967999999998e-11,2.346084655968143e-07,26845.202344418507,0.0,0.0,0.0,0.0,0.0,15499.084799999997,1430456980538.132,379.05833965753214,204.33945817646216,212.69925559395736,28.774935742972044,-74.2495780192628,-124.24703950134968,-637.3505554600627,89.17973254219167,-304.79965173489353,489.9329436916573,1.312954774697623e-07
8,3.29981696e-10,7.166361599999998e-11,2.9963978263236754e-07,34292.70378238486,0.0,0.0,0.0,0.0,0.0,19798.901759999997,1430494820320.0178,372.9037908283101,204.26972577599926,210.46416043757029,31.855249653454646,-52.898958812027836,-134.50706567690364,-657.6017937223851,70.46450627592564,-319.9966334856241,499.4314372480773,1.670865402070366e-07
9,4.1597803519999995e-10,8.599633919999998e-11,3.7808146174349345e-07,43229.70550794448,0.0,0.0,0.0,0.0,0.0,24958.682111999995,1430585480445.4204,354.339522419078,198.9416315376916,215.20647559671335,53.665559140973194,-32.76409390835921,-130.16285431782893,-673.6161001880547,40.79499979065529,-321.56806230691495,497.32899691271166,2.098550133195379e-07
10,5.191736422399999e-10,1.0319560703999998e-10,4.723303094515939e-07,53954.10757861603,0.0,0.0,0.0,0.0,0.0,31150.418534399992,1430740475859.3962,353.7774460421065,182.3877298093383,215.15728872733504,59.92081585500312,-32.16404347746399,-117.42762728941602,-704.7771733452636,-8.494692767733888,-321.6067973328559,507.7878072669731,2.622564843379637e-07
11,6.430083706879998e-10,1.2383472844799998e-10,5.836167426831073e-07,66823.39006342189,0.0,0.0,0.0,0.0,0.0,38580.50224127999,1430922086616.1309,333.622453583967,171.58538635665792,239.56412306299399,79.17265562886003,-36.38825628062029,-111.02536934754359,-685.0806278430294,29.65106414196015,-297.2283090086457,472.55749491917567,3.2077551339734693e-07
12,7.916100448255998e-10,1.4860167413759998e-10,7.176211791786016e-07,82266.52904518892,0.0,0.0,0.0,0.0,0.0,47496.60268953598,1431157198887.8535,304.8783303700901,156.3402852487582,246.38001188680423,133.90749453925042,11.605045701658305,-89.01248868491699,-625.9245124533705,74.93425960652425,-316.478151771905,452.7632884278792,3.8805689604577484e-07
13,9.416100448255998e-10,1.5e-10,8.516045532983494e-07,97854.98631330881,0.0,0.0,0.0,0.0,0.0,56496.60268953598,1431450680887.1733,328.88249057020494,199.4587920141845,251.1462648222774,83.98618679678648,-4.490418430827039,-86.57867602136935,-541.0923813656237,147.96260372045506,-324.3874548991367,445.34628766315274,4.548588391952477e-07
14,1.0916100448256e-09,1.5e-10,9.873403841023764e-07,113443.4435814287,0.0,0.0,0.0,0.0,0.0,65496.60268953598,1431689437410.898,270.6977348594248,193.31932643020178,290.0449592057193,154.06506505681392,46.55215985507403,-54.84370948114959,-548.8752774437584,118.90302723292875,-317.24566721599854,425.81334193277377,5.187308404851638e-07
15,1.2416100448256e-09,1.5e-10,1.1240243388402158e-06,129031.90084954859,0.0,0.0,0.0,0.0,0.0,74496.60268953598,1431816200425.2148,270.8296843707448,196.54193517394907,277.681125732356,156.0839349466516,49.34606099841871,-48.07432215974856,-538.2186411181152,88.01413296495019,-320.17184217043587,428.3330129977942,5.829807924348329e-07
16,1.3916100448256001e-09,1.5e-10,1.2600803654269375e-06,144620.35811766848,0.0,0.0,0.0,0.0,0.0,83496.60268953598,1432050476601.605,244.03483112289965,178.33365680666142,276.3308612806821,173.63616371382514,99.95185922448701,-33.564466743770424,-502.4356735246127,90.30281724067613,-343.98306928863127,429.71340485486314,6.474378031630624e-07
17,1.5416100448256002e-09,1.5e-10,1.3898137341301003e-06,160208.8153857884,0.0,0.0,0.0,0.0,0.0,92496.60268953598,1432267767221.2043,188.1852817923589,196.92339398487505,242.08788297203233,116.56870558965264,105.77618646512995,-99.53472784886232,-466.70170658685305,85.8609798433809,-293.9580904844377,371.9063320130923,7.032237529650262e-07
18,1.6916100448256003e-09,1.5e-10,1.5148099609666552e-06,175797.27265390827,0.0,0.0,0.0,0.0,0.0,101496.60268953598,1432456041845.9373,143.59318626276695,199.47156754159857,219.07754464594302,90.00503917625198,113.0430257473231,-115.85709540176106,-419.455574696295,70.69428783752468,-256.6330466219354,328.88916005758205,7.525571269736635e-07
