step,time(s),dt(s),strain_eq,sigma_vm(Pa),s_xx(Pa),s_yy(Pa),s_zz(Pa),s_yz(Pa),s_zx(Pa),s_xy(Pa),density(1/m^2),Lpxx,Lpxy,Lpxz,Lpyx,Lpyy,Lpyz,Lpzx,Lpzy,Lpzz,epdot_eq(1/s),ep_eq(-)
1,2e-11,2e-11,1.9142506486752925e-08,2771.2812921102036,0.0,0.0,0.0,0.0,0.0,1600.0,2055017897449.0576,-279.1844387855329,-892.068711498298,469.80759697835856,767.5741869856838,396.62681276229773,-453.26209789879516,-674.6646843556282,-186.63787438982354,-120.05026658801604,567.5311971915277,1.1350623943830553e-08
2,4.3999999999999997e-11,2.3999999999999998e-11,4.2071974252948006e-08,6096.818842642448,0.0,0.0,0.0,0.0,0.0,3520.0,2054973623660.133,-249.64215184540836,-894.1995996335214,476.9940822172608,770.4125239566697,375.7722085897544,-453.96384961219303,-674.5986092159712,-226.45304380010253,-126.22296372632904,564.5807661833164,2.4900562332230146e-08
3,7.28e-11,2.8799999999999997e-11,6.993762387652725e-08,10087.463903281141,0.0,0.0,0.0,0.0,0.0,5824.0,2054951648281.5352,-278.4977157132516,-881.5766865678066,483.8477295339358,769.3788983346298,385.7104971306108,-448.19916823746536,-667.7990319309797,-236.8533976705187,-107.30180072707422,574.8674997429489,4.1456746324827074e-08
4,1.0735999999999999e-10,3.4559999999999995e-11,1.0265299866173739e-07,14876.23797604757,0.0,0.0,0.0,0.0,0.0,8588.8,2054931667687.995,-242.8419289148521,-870.5205353527683,473.3010452681031,745.1272779756084,350.86739329509,-452.4628108327056,-668.561822419447,-233.08990824938692,-108.1123967358453,551.1713622276785,6.050522860341564e-08
5,1.4883199999999998e-10,4.147199999999999e-11,1.426258583983352e-07,20622.766863367287,0.0,0.0,0.0,0.0,0.0,11906.559999999998,2054920890934.006,-255.61176058777653,-823.1636874990223,481.6318150075256,731.6076651184484,320.69397888420684,-475.63195201520205,-674.0132986519474,-251.2139519437016,-65.16770061064472,553.3400905644761,8.345334883930559e-08
6,1.9859839999999997e-10,4.976639999999999e-11,1.9044392944556632e-07,27518.601528150946,0.0,0.0,0.0,0.0,0.0,15887.871999999996,2054893188436.2815,-236.7128585606299,-809.2386636254357,482.4010908720342,729.6955834194436,302.2210866335757,-469.36824188995274,-660.3804142123031,-254.5044439582239,-65.59270671277038,537.0727256893094,1.1018152493505004e-07
7,2.5831807999999997e-10,5.971967999999998e-11,2.4769115187225643e-07,35793.603125891335,0.0,0.0,0.0,0.0,0.0,20665.446399999993,2054908042529.982,-226.79780323073766,-813.1713361610917,477.04768035570004,720.460576647572,320.39453275067046,-459.5501891787292,-665.8857722305593,-257.4153628054992,-93.66176506959337,542.838086790184,1.4259964176997205e-07
8,3.29981696e-10,7.166361599999998e-11,3.1659796449018304e-07,45723.60504317981,0.0,0.0,0.0,0.0,0.0,26398.535679999994,2054945377285.0718,-234.54369698181185,-809.0786943709193,480.4172098212622,713.4974906936378,342.082875717285,-466.0486979496643,-652.5351129057051,-242.3625841829794,-107.60491438000828,550.09920263369,1.8202173978941898e-07
9,4.1597803519999995e-10,8.599633919999998e-11,3.987977994686131e-07,57639.60734392597,0.0,0.0,0.0,0.0,0.0,33278.24281599999,2055033685922.5415,-195.46494871760777,-802.7898137309658,465.19571407347485,705.5668720218589,328.6190647951333,-427.93951768612493,-672.2357522278926,-283.04722311243813,-133.22699014862047,543.3577572346019,2.2874851778751705e-07
10,5.191736422399999e-10,1.0319560703999998e-10,4.969681319111109e-07,71938.81010482137,0.0,0.0,0.0,0.0,0.0,41533.89137919999,2055223543313.9583,-171.03164114964727,-775.1570205562795,492.89184065200783,696.170881572577,310.79696253724285,-447.73554276659405,-661.2861278620035,-248.38928588473985,-139.82730398772773,519.6093793917867,2.8236992311753015e-07
11,6.430083706879998e-10,1.2383472844799998e-10,6.173466005579778e-07,89097.85341789585,0.0,0.0,0.0,0.0,0.0,51440.66965503999,2055523100106.4402,-204.31190932438332,-737.0337222189983,494.3539365940026,687.4028881544839,331.17230043227664,-409.62399040498946,-663.5582449754734,-275.8368613467968,-127.12225700326519,527.9226367347923,3.477450794791353e-07
12,7.916100448255998e-10,1.4860167413759998e-10,7.584667791840323e-07,109688.70539358523,0.0,0.0,0.0,0.0,0.0,63328.80358604799,2055975242241.5457,-141.232870855228,-680.4559678690027,516.1198903270845,642.6204456570721,265.3250800538952,-403.54829484206346,-646.1472394283826,-275.5184189992178,-124.1492530876139,479.9251879262755,4.1906276586578215e-07
13,9.416100448255998e-10,1.5e-10,8.994086045247367e-07,130473.31508441175,0.0,0.0,0.0,0.0,0.0,75328.80358604799,2056495568314.8408,-118.66152226500628,-643.2414434467352,570.2192958509886,643.1048036214274,215.62294621478975,-388.90435546059166,-650.9185649427051,-244.58491152167701,-97.01854614339797,427.3148184796379,4.831599886377278e-07
14,1.0916100448256e-09,1.5e-10,1.0395406593973567e-06,151257.9247752383,0.0,0.0,0.0,0.0,0.0,87328.80358604799,2057088712754.8477,-61.30544998263868,-581.3428294276905,604.4708001833077,624.2000338478379,186.66213483623343,-349.0050526065437,-630.8668003941478,-219.27327297500076,-125.4067184423542,380.4075252247921,5.402211174214466e-07
