step,time(s),dt(s),strain_eq,sigma_vm(Pa),s_xx(Pa),s_yy(Pa),s_zz(Pa),s_yz(Pa),s_zx(Pa),s_xy(Pa),density(1/m^2),Lpxx,Lpxy,Lpxz,Lpyx,Lpyy,Lpyz,Lpzx,Lpzy,Lpzz,epdot_eq(1/s),ep_eq(-)
1,2e-11,2e-11,1.5917452617701445e-08,2078.460969082653,0.0,0.0,0.0,0.0,0.0,1200.0,2055017897449.0588,-279.18443887935854,-892.0687105709832,469.80759648742134,767.5741875966397,396.62681294665583,-453.2620965347912,-674.6646861706287,-186.6378746026877,-120.05026667878897,567.5311970533231,1.1350623941066461e-08
2,4.3999999999999997e-11,2.3999999999999998e-11,3.496243153751579e-08,4572.614131981836,0.0,0.0,0.0,0.0,0.0,2640.0,2054973623670.3572,-249.6546484099754,-894.3890814396344,476.986022135087,770.2261973672722,375.7928587740937,-453.96654270144154,-674.5906066501955,-226.4582820616092,-126.2311173255122,564.6255272525048,2.4901636595126576e-08
3,7.28e-11,2.8799999999999997e-11,5.8181657607248274e-08,7565.597927460856,0.0,0.0,0.0,0.0,0.0,4368.0,2054951648312.1309,-278.5253301613608,-881.9930116556548,483.8298002701284,768.969368761574,385.7559733346183,-448.2053666151425,-667.7810661205242,-236.86443409136567,-107.31966243315247,574.9597449098112,4.146047724852914e-08
4,1.0735999999999999e-10,3.4559999999999995e-11,8.523734395202313e-08,11157.17848203568,0.0,0.0,0.0,0.0,0.0,6441.6,2054931667781.5183,-242.88629243289654,-871.208163313506,473.2714252481302,744.4506868577523,350.94187210901276,-452.4716364520325,-668.5329858399177,-233.10897463185037,-108.14251194320468,551.3355941884665,6.051463538368253e-08
5,1.4883199999999998e-10,4.147199999999999e-11,1.1833796182710658e-07,15467.07514752547,0.0,0.0,0.0,0.0,0.0,8929.92,2054920891064.5469,-255.6797667974126,-824.1743670116418,481.58671210564427,730.6126569215058,320.8064617625406,-475.6468336579532,-673.971981428256,-251.24067716440615,-65.21217713194586,553.5384518549083,8.347098205900929e-08
6,1.9859839999999997e-10,4.976639999999999e-11,1.5777156880408407e-07,20638.951146113213,0.0,0.0,0.0,0.0,0.0,11915.903999999999,2054893188356.053,-236.80731222107764,-810.6404298322631,482.3467316269661,728.317871098192,302.37693754897055,-469.3871066620937,-660.324170459791,-254.54512693900574,-65.65410373908428,537.3300676796923,1.1021196513918392e-07
7,2.5831807999999997e-10,5.971967999999998e-11,2.04902888679719e-07,26845.202344418507,0.0,0.0,0.0,0.0,0.0,15499.084799999997,2054908041843.502,-224.48949815954734,-815.0367134975107,478.1881919881395,718.6227522728155,318.1601853620223,-458.36159091107874,-664.5876152456306,-256.24710458013607,-93.7357224920948,540.2226801948408,1.4247389072916215e-07
8,3.29981696e-10,7.166361599999998e-11,2.6186246663362807e-07,34292.70378238486,0.0,0.0,0.0,0.0,0.0,19798.901759999997,2054945280871.9429,-234.65396374149688,-811.5922937682773,480.4765341800162,711.0501772562128,342.41935600771285,-466.2252630769488,-652.392692459068,-242.26105787959276,-107.83112772406476,550.6053789547892,1.8193226317411264e-07
9,4.1597803519999995e-10,8.599633919999998e-11,3.295712307207662e-07,43229.70550794448,0.0,0.0,0.0,0.0,0.0,24958.682111999995,2055033561833.7969,-194.90908313759232,-806.1308763660084,465.2456827435606,702.6832295195256,328.2751214394398,-428.15095371939987,-672.737953328493,-282.7006524941223,-133.43891214995577,543.5023957903861,2.2867147955851533e-07
10,5.191736422399999e-10,1.0319560703999998e-10,4.0991883964905697e-07,53954.10757861603,0.0,0.0,0.0,0.0,0.0,31150.418534399992,2055223337001.8606,-171.0571068716547,-778.9789007886408,492.7381904065991,692.2454575093786,310.9643709844955,-447.6538043982673,-660.9807090727029,-248.45104213574868,-139.96924469851504,520.0934913479338,2.823428431157183e-07
11,6.430083706879998e-10,1.2383472844799998e-10,5.088083714301642e-07,66823.39006342189,0.0,0.0,0.0,0.0,0.0,38580.50224127999,2055522848469.8252,-204.5890049584999,-741.7197356073475,494.1993736630578,682.5631188599566,331.50189269989954,-409.70564987290527,-663.3395475381142,-275.92888474835144,-127.17475283561335,528.535645576038,3.4779391126071533e-07
12,7.916100448255998e-10,1.4860167413759998e-10,6.230035295774447e-07,82266.52904518892,0.0,0.0,0.0,0.0,0.0,47496.60268953598,2055974877932.3796,-141.56347861906445,-685.9556548468015,516.3570063254344,636.9780802680282,264.99601575936236,-403.6968589201914,-645.344877317233,-275.65024492072575,-123.48958042987643,480.13009619452276,4.191420473590683e-07
13,9.416100448255998e-10,1.5e-10,7.352534640112265e-07,97854.98631330881,0.0,0.0,0.0,0.0,0.0,56496.60268953598,2056494871317.51,-117.50927624389145,-649.0878741994576,569.4432831674194,635.7560104100039,213.50928121974331,-388.70906884734865,-651.1951858750804,-244.0343983829889,-96.05712621155268,426.0158983120255,4.830444321058721e-07
14,1.0916100448256e-09,1.5e-10,8.453786669000713e-07,113443.4435814287,0.0,0.0,0.0,0.0,0.0,65496.60268953598,2057087649286.4695,-60.49363975984417,-592.272437778121,604.3827315052866,613.0402603723593,190.19917193071475,-351.5393500751234,-630.0862377153572,-221.6714591238353,-129.7555595054948,384.2768211517737,5.406859552786382e-07
15,1.2416100448256e-09,1.5e-10,9.54645630709573e-07,129031.90084954859,0.0,0.0,0.0,0.0,0.0,74496.60268953598,2057476140261.298,-33.91706546453268,-532.2511645564848,614.8426377389064,586.8354899051499,143.36871143948406,-397.31437929693436,-607.0203194364794,-152.17451612231034,-109.50653059727956,352.31233936780575,5.93532806183809e-07
16,1.3916100448256001e-09,1.5e-10,1.0669308044758172e-06,144620.35811766848,0.0,0.0,0.0,0.0,0.0,83496.60268953598,2057733136288.5889,-49.1224193304566,-493.1406857921872,603.703456003411,580.5246854436592,89.39296419354095,-459.42766254292854,-594.7500804909563,-148.65989999636017,-40.32841407948915,365.8540693882522,6.484109165920468e-07
17,1.5416100448256002e-09,1.5e-10,1.1738531836062761e-06,160208.8153857884,0.0,0.0,0.0,0.0,0.0,92496.60268953598,2058140999852.7876,-49.00118506720184,-446.4253289505667,661.3728634452708,528.8853023526019,45.71526151955925,-452.2214803420645,-587.8497362188137,-72.84037596443208,3.231757704565806,314.5886952100854,6.955992208735597e-07
18,1.6916100448256003e-09,1.5e-10,1.2841159271752363e-06,175797.27265390827,0.0,0.0,0.0,0.0,0.0,101496.60268953598,2058645607362.9248,-39.838963823101864,-350.48012229664795,674.1105050733648,479.7523764107774,22.101800050508782,-485.0661221589673,-603.501606668132,-39.9699174370762,17.66975222448211,317.35126730892273,7.432019109698981e-07
