step,time(s),dt(s),strain_eq,sigma_vm(Pa),s_xx(Pa),s_yy(Pa),s_zz(Pa),s_yz(Pa),s_zx(Pa),s_xy(Pa),density(1/m^2),Lpxx,Lpxy,Lpxz,Lpyx,Lpyy,Lpyz,Lpzx,Lpzy,Lpzz,epdot_eq(1/s),ep_eq(-)
1,2e-11,2e-11,1.332980267507824e-08,1600.0,0.0,0.0,1600.0,0.0,0.0,0.0,2055017897449.0596,-279.1844389125053,-892.0687110743585,469.8075959817746,767.5741878446571,396.62681357394604,-453.2620965040246,-674.6646863320256,-186.63787498893092,-120.05026727296786,567.5311976727779,1.1350623953455557e-08
2,4.3999999999999997e-11,2.3999999999999998e-11,2.915264763072337e-08,3520.0000000000005,0.0,0.0,3520.0,0.0,0.0,0.0,2054973623699.5273,-250.43739508918097,-894.8751672772557,476.9510009398924,769.6175108445428,375.09712012543474,-454.0068834283015,-674.5356657535128,-226.47411390454886,-124.75263186241975,564.4299434177627,2.489694259548186e-08
3,7.28e-11,2.8799999999999997e-11,4.8832623731730376e-08,5824.0,0.0,0.0,5824.0,0.0,0.0,0.0,2054951648360.8452,-280.245097202151,-883.0596570960945,483.75044343016367,767.6301475707787,384.2284685154173,-448.29619457043947,-667.6574714781146,-236.89808121436153,-104.072390276385,574.640974315185,4.144660265575918e-08
4,1.0735999999999999e-10,3.4559999999999995e-11,7.177262128433238e-08,8588.8,0.0,0.0,8588.8,0.0,0.0,0.0,2054931667808.6936,-245.72956713812124,-872.9695679277534,473.14350442604973,742.2387234271896,348.4157480514426,-452.61440557711825,-668.3336517997639,-233.16812031006924,-102.77311270543112,550.8070299873359,6.04824936121215e-08
5,1.4883199999999998e-10,4.147199999999999e-11,1.0067231721044137e-07,11906.559999999998,0.0,0.0,11906.559999999998,0.0,0.0,0.0,2054920890612.093,-259.8677961119157,-826.7574331991551,481.3860322809045,727.3541023575718,317.105102426509,-475.8693649697284,-673.6803388019619,-251.31431317142707,-57.32278777272734,553.293130006079,8.34286662997336e-08
6,1.9859839999999997e-10,4.976639999999999e-11,1.3479370035957814e-07,15887.871999999996,0.0,0.0,15887.871999999996,0.0,0.0,0.0,2054893186547.6917,-242.61531764074294,-814.234483336358,482.1152251227721,723.8086267856839,297.2434824318394,-469.66560400667726,-659.9167420139097,-254.67533803414497,-54.71264222748721,536.9291455743412,1.1014969693004448e-07
7,2.5831807999999997e-10,5.971967999999998e-11,1.7504775724083893e-07,20665.446399999993,0.0,0.0,20665.446399999993,0.0,0.0,0.0,2054908034477.3335,-234.6750942433399,-819.8218476175629,476.62226708995047,712.6056264776809,313.7633447516176,-460.0143522468922,-665.2503662501487,-257.60605305023006,-79.15328512177858,542.1024140000167,1.4252387962135298e-07
8,3.29981696e-10,7.166361599999998e-11,2.2328134185393705e-07,26398.535679999994,0.0,0.0,26398.535679999994,0.0,0.0,0.0,2054945361767.3232,-244.7778579073073,-817.7143107316257,479.88173500368833,703.2616332993873,333.4280427706878,-466.63165411513063,-651.7156733708009,-242.6813483726799,-88.71592115213284,548.8391389807337,1.818556769230389e-07
9,4.1597803519999995e-10,8.599633919999998e-11,2.792318944519571e-07,33278.24281599999,0.0,0.0,33278.24281599999,0.0,0.0,0.0,2055033645658.2632,-208.52786112639947,-813.8002035079423,464.43070477474504,692.5275419662271,317.5481563158465,-428.7086362941669,-671.1172643332843,-283.376811410997,-109.09317082708012,540.6588936678168,2.2835036253439319e-07
10,5.191736422399999e-10,1.0319560703999998e-10,3.44192151460279e-07,41533.89137919999,0.0,0.0,41533.89137919999,0.0,0.0,0.0,2055223455333.683,-187.5356813056403,-789.0414452398038,492.0136188020449,679.730561056961,296.9259157640985,-448.61686679562166,-659.8692613900598,-248.91464446044654,-109.45222998152379,515.5267335682796,2.8155045675032014e-07
11,6.430083706879998e-10,1.2383472844799998e-10,4.249562975718622e-07,51440.66965503999,0.0,0.0,51440.66965503999,0.0,0.0,0.0,2055522964630.355,-224.90277157360467,-754.532611911115,493.05008017832984,667.1993022956852,313.90291088472776,-410.9969880293918,-662.0410565443663,-276.30690518251305,-89.26201388905329,523.6855612482296,3.4640091601963313e-07
12,7.916100448255998e-10,1.4860167413759998e-10,5.167383820206597e-07,63328.80358604799,0.0,0.0,63328.80358604799,0.0,0.0,0.0,2055974857876.7185,-164.9399207340216,-702.4041903438484,513.9846834161176,618.0639198726877,244.28871390565715,-405.7668889412588,-644.8651100520226,-277.0449130354236,-79.40584820307267,474.9911606415214,4.169853976915249e-07
13,9.416100448255998e-10,1.5e-10,6.068471921022182e-07,75328.80358604799,0.0,0.0,75328.80358604799,0.0,0.0,0.0,2056495323273.5334,-148.95301218671136,-665.5548857863056,570.2094243636196,611.3966955048755,194.46686630552432,-392.7897644426665,-647.8015688614132,-244.53170833299296,-45.570991873084616,423.9868176347883,4.805834203367431e-07
14,1.0916100448256e-09,1.5e-10,6.876437888731869e-07,87328.80358604799,0.0,0.0,87328.80358604799,0.0,0.0,0.0,2057089478123.7375,-91.17431421639671,-604.1427627808195,599.3427098697256,588.2642262400453,164.79235460845507,-357.7360837617959,-632.9031213041943,-222.99754045952787,-73.66809412670685,374.3538874044816,5.367365034474153e-07
15,1.2416100448256e-09,1.5e-10,7.691106291952358e-07,99328.803586048,0.0,0.0,99328.80358604799,0.0,0.0,0.0,2057474497135.4724,-75.31197757508845,-559.7913570191384,614.755062268684,545.3845833984868,98.69534555190738,-402.64039044085104,-603.1599507430795,-150.39075426049112,-23.438288971364717,335.71291600944653,5.870934408488323e-07
16,1.3916100448256001e-09,1.5e-10,8.603022337876845e-07,111328.80358604799,0.0,0.0,111328.80358604799,0.0,0.0,0.0,2057721536675.2175,-98.10202055360071,-524.2187893090255,605.964690221514,540.0771086368773,54.803034180900276,-463.709243698108,-590.3605922166266,-143.35295129678514,43.24111901120974,364.24068484516073,6.417295435756065e-07
17,1.5416100448256002e-09,1.5e-10,9.517103615571126e-07,123328.80358604799,0.0,0.0,123328.80358604799,0.0,0.0,0.0,2058115136742.4177,-95.09523140783104,-480.58271116204077,631.5828832341464,484.4928647608137,17.078007241786718,-485.3471825298133,-561.0445172380182,-65.68196937037351,77.96307306979213,336.37780390660896,6.921862141615978e-07
18,1.6916100448256003e-09,1.5e-10,1.0430030135647254e-06,135328.803586048,0.0,0.0,135328.803586048,0.0,0.0,0.0,2058585040180.0068,-86.39062415411371,-401.3141523302283,684.5185902308292,463.2360468069973,-21.74327136395752,-468.9142889206432,-604.647695560197,-23.267579878784563,108.06690872552944,311.8150124201037,7.389584660246133e-07
19,1.8416100448256005e-09,1.5e-10,1.1421511483668736e-06,147328.803586048,0.0,0.0,147328.803586048,0.0,0.0,0.0,2058397343203.1404,-73.7679829966654,-397.63147203406913,640.9901884857401,450.86615542509156,-113.14147753799878,-517.0694875640689,-546.6744618250766,20.825612748291412,186.85474804309519,348.4739030619563,7.912295514839068e-07
20,1.9916100448256006e-09,1.5e-10,1.2360327745160669e-06,159328.803586048,0.0,0.0,159328.803586048,0.0,0.0,0.0,2058202379503.8018,-36.99839591349164,-414.0972295925206,615.7767003384462,453.3970361137693,-75.70475869841022,-495.5268687221965,-524.3532951657716,-29.605513434654362,112.64973256954454,329.2652632104776,8.406193409654784e-07
21,2.1416100448256007e-09,1.5e-10,1.320971887982966e-06,171328.803586048,0.0,0.0,171328.803586048,0.0,0.0,0.0,2057805365525.89,56.19516589010043,-420.0622521936454,561.8288615347074,481.43689969660363,-115.1678283387366,-523.9855691926753,-484.94273232682116,17.682325743280746,58.92374099434149,319.274366734397,8.88510495975638e-07
22,2.2916100448256008e-09,1.5e-10,1.4131598377925685e-06,183328.803586048,0.0,0.0,183328.803586048,0.0,0.0,0.0,2056501952842.1582,20.365034397784267,-391.4026799856982,513.1515652263773,447.02777123181835,-101.19828417764136,-543.2305996951349,-458.8676567020125,-12.342811153345481,80.78619272773757,341.1095527376137,9.3967692888628e-07
23,2.441610044825601e-09,1.5e-10,1.496086993505491e-06,195328.803586048,0.0,0.0,195328.803586048,0.0,0.0,0.0,2055895078294.2417,94.31647496558806,-373.5794923984327,578.3210382381226,448.5786733898398,-151.48355801232412,-501.08495241520444,-461.5266246749568,49.039653630434906,57.133786338172634,312.9563521329262,9.86620381706219e-07
24,2.591610044825601e-09,1.5e-10,1.5889217386423995e-06,207328.803586048,0.0,0.0,207328.803586048,0.0,0.0,0.0,2054010228211.7585,18.485384798425496,-363.24487466875377,534.238178672028,325.8770496424677,-101.8793134758354,-523.3019131730879,-454.86583437507244,-0.8198140452340732,83.35215800576593,325.44189483841285,1.0354366659319808e-06
25,2.741610044825601e-09,1.5e-10,1.6829570155670115e-06,219328.803586048,0.0,0.0,219328.803586048,0.0,0.0,0.0,2052441164040.258,31.284419906131077,-316.5316513914369,540.592479924555,348.3019238874908,-133.63638267329938,-538.1168983426519,-378.10022354097,33.75922662680897,102.3117217041345,336.84809475468916,1.085963880145184e-06
26,2.891610044825601e-09,1.5e-10,1.7842529877745213e-06,231328.803586048,0.0,0.0,231328.803586048,0.0,0.0,0.0,2051590102307.656,18.70185324729119,-295.9290108998971,514.876218598648,275.80736788793575,-175.64546248654713,-508.0726271382069,-389.3604007141819,3.3823710786695362,156.90446442897365,357.0768139339337,1.139525402235274e-06
27,3.0416100448256013e-09,1.5e-10,1.8827969769471834e-06,243328.803586048,0.0,0.0,243328.803586048,0.0,0.0,0.0,2050175429999.2996,31.664945748307122,-286.522162480075,468.5591125337907,236.4158142880203,-176.47778942029706,-461.5761569172829,-374.608496819559,-2.701699664996713,144.77459652324188,333.2190560415342,1.1895082606415041e-06
28,3.1916100448256014e-09,1.5e-10,1.977595957800152e-06,255328.80358604796,0.0,0.0,255328.803586048,0.0,0.0,0.0,2049689728234.325,33.77766013466818,-244.40492281270386,500.9136963463761,206.24839758708265,-154.95501871476557,-439.9282137451399,-338.0647524018033,11.41190404856084,121.14001060985728,311.5850377646399,1.2362460163062e-06
29,3.3416100448256015e-09,1.5e-10,2.0762996340678394e-06,267328.80358604796,0.0,0.0,267328.80358604796,0.0,0.0,0.0,2048252810315.7773,63.489004657507714,-245.28455735953247,510.4641031805855,162.39792156412855,-213.552355780339,-401.21024973414836,-378.5821512109276,-34.00856392724584,149.9203598979208,345.3990990052665,1.28805588115699e-06
30,3.4916100448256016e-09,1.5e-10,2.174488039262978e-06,279328.80358604796,0.0,0.0,279328.80358604796,0.0,0.0,0.0,2047818493571.9558,116.60047332790674,-275.49975176355093,505.033093278277,159.2235476092346,-259.4473238846113,-403.30570489088103,-383.6612541319121,-36.88654815509421,142.81357364923147,376.22205356734236,1.3444891891920915e-06
31,3.6416100448256017e-09,1.5e-10,2.267250515690783e-06,291328.80358604796,0.0,0.0,291328.80358604796,0.0,0.0,0.0,2046513524508.0254,121.31531545807478,-230.83189845703896,510.9067514479673,132.23196082904832,-235.600703139583,-367.2540141028175,-405.6824094356178,-12.491903633149514,114.2530905702326,332.4448843884367,1.394355921850357e-06
32,3.791610044825601e-09,1.5e-10,2.3669473603392083e-06,303328.80358604796,0.0,0.0,303328.80358604796,0.0,0.0,0.0,2045433331024.7017,108.85215733915847,-272.4379930902958,527.5804062036603,97.93443534797132,-256.1807507141998,-397.87851302679957,-388.37354526527133,-20.190376130014712,147.2967683104926,375.4814918541485,1.4506781456284791e-06
33,3.941610044825601e-09,1.5e-10,2.4744491721966976e-06,315328.80358604796,0.0,0.0,315328.80358604796,0.0,0.0,0.0,2044136015155.952,177.23181469528402,-265.605087220643,579.2114035038983,99.87878069169142,-403.70787719345367,-316.4750544686528,-349.6057773517515,-29.182368668593927,226.41147990904543,479.9200125618134,1.5226661475127511e-06
34,4.091610044825601e-09,1.5e-10,2.5892217775480627e-06,327328.80358604796,0.0,0.0,327328.80358604796,0.0,0.0,0.0,2042224430454.8635,141.4302899820032,-303.3766769315441,567.1559080802979,67.30436946338409,-395.78914825125156,-344.1471781167227,-359.4863004981868,-47.348045622843564,254.32928460848268,494.90579376017183,1.596902016576777e-06
35,4.2416100448256004e-09,1.5e-10,2.686179447388759e-06,339328.80358604796,0.0,0.0,339328.80358604796,0.0,0.0,0.0,2040076666827.7227,174.7968056174739,-259.50708264294866,532.6705024807736,48.954398177238474,-311.47516013608185,-337.1516453538777,-301.87711733486816,29.37289813428104,136.65054434803565,402.0007946160712,1.6572021357691877e-06
