step,time(s),dt(s),strain_eq,sigma_vm(Pa),s_xx(Pa),s_yy(Pa),s_zz(Pa),s_yz(Pa),s_zx(Pa),s_xy(Pa),density(1/m^2),Lpxx,Lpxy,Lpxz,Lpyx,Lpyy,Lpyz,Lpzx,Lpzy,Lpzz,epdot_eq(1/s),ep_eq(-)
1,2e-11,2e-11,1.3269336686762942e-08,1385.6406460551018,0.0,0.0,0.0,0.0,0.0,800.0,2055017897449.0586,-279.1844385084397,-892.0687107303986,469.80759651092734,767.5741874898976,396.6268131564367,-453.26209652477047,-674.6646861558792,-186.63787476060352,-120.05026725958817,567.5311971817662,1.1350623943635324e-08
2,4.3999999999999997e-11,2.3999999999999998e-11,2.9121512767198257e-08,3048.409421321224,0.0,0.0,0.0,0.0,0.0,1760.0,2054973623680.4084,-249.66711912200103,-894.5785536734728,476.97798530561374,770.0398600699502,375.81352103416765,-453.9692077529794,-674.582590156172,-226.46349146721496,-126.23930885292881,564.6703452326803,2.490271222921965e-08
3,7.28e-11,2.8799999999999997e-11,4.851989870965568e-08,5043.7319516405705,0.0,0.0,0.0,0.0,0.0,2912.0,2054951648342.8264,-278.5530097929311,-882.4093242503994,483.8119399464786,768.559881708375,385.80144362330356,-448.2116344185099,-667.7631570019556,-236.87546979008644,-107.33745304050083,575.052406353756,4.146422153220782e-08
4,1.0735999999999999e-10,3.4559999999999995e-11,7.091115136922697e-08,7438.118988023785,0.0,0.0,0.0,0.0,0.0,4294.4,2054931667873.657,-242.93069009635414,-871.8957782415217,473.2417747077572,743.7741256911108,351.0163572677662,-452.48041144154706,-668.504117046718,-233.12805228783705,-108.1725993499447,551.5009020077256,6.052409270559481e-08
5,1.4883199999999998e-10,4.147199999999999e-11,9.827970800781182e-08,10311.383431683644,0.0,0.0,0.0,0.0,0.0,5953.279999999999,2054920891188.6978,-255.74533018751143,-825.1850384357341,481.54406468005703,729.6200895283702,320.91895606185506,-475.6592512733297,-673.9331130883693,-251.26740832055276,-65.25910789381541,553.7374157205851,8.348869081035891e-08
6,1.9859839999999997e-10,4.976639999999999e-11,1.3066061100146695e-07,13759.300764075473,0.0,0.0,0.0,0.0,0.0,7943.935999999998,2054893188272.9285,-236.90245316921755,-812.0422432219674,482.2918355919122,726.9396592064079,302.5329168530242,-469.40648859335977,-660.2672547701404,-254.58576777422985,-65.71494186614896,537.5925564593045,1.1024273701213524e-07
7,2.5831807999999997e-10,5.971967999999998e-11,1.6942904268065643e-07,17896.801562945668,0.0,0.0,0.0,0.0,0.0,10332.723199999997,2054908041163.2415,-224.6175702444787,-816.9025492010775,478.1080191062577,716.7826386184836,318.3637629167637,-458.38944130607086,-664.5063989247933,-256.29875447019566,-93.81122770200326,540.6063692324266,1.425275763886576e-07
8,3.29981696e-10,7.166361599999998e-11,2.1647030150515744e-07,22861.802521589903,0.0,0.0,0.0,0.0,0.0,13199.267839999997,2054945280361.5647,-234.8176770866706,-814.0196356263624,480.3756122656161,708.6615262620273,342.6838557135843,-466.26464885071994,-652.2956567187717,-242.33940580124752,-107.93191392412871,551.1255961296175,1.8202322947746157e-07
9,4.1597803519999995e-10,8.599633919999998e-11,2.7215570089406513e-07,28819.803671962985,0.0,0.0,0.0,0.0,0.0,16639.121407999995,2055033558759.3706,-195.12456793337142,-809.1929225728356,465.14928064232663,699.6562481075961,328.5700651723829,-428.23490001905026,-672.6095838940181,-282.759120820477,-133.51837089390682,544.1411086465254,2.2881737282929222e-07
10,5.191736422399999e-10,1.0319560703999998e-10,3.3751066769887767e-07,35969.405052410686,0.0,0.0,0.0,0.0,0.0,20766.945689599994,2055223304676.168,-171.34021780225953,-782.9307623457244,492.5401373385,688.4390637726743,311.42968439885186,-447.67568160601735,-660.827849173529,-248.62739584827233,-140.15144520497148,520.9171728899189,2.82573736703228e-07
11,6.430083706879998e-10,1.2383472844799998e-10,4.1823263256245706e-07,44548.926708947925,0.0,0.0,0.0,0.0,0.0,25720.334827519993,2055522860355.122,-205.0561687994177,-746.6320484561192,494.039589768479,677.9660291341079,332.07451206710675,-409.8490092268019,-663.3043429685224,-276.1458683575894,-127.28020760229893,529.4645349490997,3.4813983361149635e-07
12,7.916100448255998e-10,1.4860167413759998e-10,5.09218122963759e-07,54844.352696792615,0.0,0.0,0.0,0.0,0.0,31664.401793023993,2055974891730.373,-142.02471396364652,-691.9481605030492,516.1505117465849,631.0852015526863,265.5347882570412,-403.8661939602933,-645.0965893689602,-275.82103873892214,-123.56711703126834,481.04167391397584,4.1962343168506664e-07
