step,time(s),dt(s),strain_eq,sigma_vm(Pa),s_xx(Pa),s_yy(Pa),s_zz(Pa),s_yz(Pa),s_zx(Pa),s_xy(Pa),density(1/m^2),Lpxx,Lpxy,Lpxz,Lpyx,Lpyy,Lpyz,Lpzx,Lpzy,Lpzz,epdot_eq(1/s),ep_eq(-)
1,2e-11,2e-11,1.3329802680921125e-08,1600.0,0.0,0.0,1600.0,0.0,0.0,0.0,2055017897449.0583,-279.1844387980485,-892.0687120937663,469.80759672807557,767.5741874779193,396.62681263816893,-453.26209787961994,-674.6646840402444,-186.63787491665096,-120.05026645169538,567.5311973090861,1.1350623946181721e-08
2,4.3999999999999997e-11,2.3999999999999998e-11,2.9152647419588775e-08,3520.0000000000005,0.0,0.0,3520.0,0.0,0.0,0.0,2054973623699.6172,-250.4373811926682,-894.8751797217391,476.95101904494953,769.6175215696692,375.0970899660064,-454.0068979765518,-674.5356626020256,-226.47409441572395,-124.75261559949483,564.4299192103896,2.489694200723107e-08
3,7.28e-11,2.8799999999999997e-11,4.8832625285538705e-08,5824.0,0.0,0.0,5824.0,0.0,0.0,0.0,2054951648361.0828,-280.24514534586115,-883.0596587663014,483.75048542498206,767.6301958558477,384.22846201157256,-448.29625549578094,-667.6575228231617,-236.8980774031795,-104.07233562856867,574.6410010476095,4.144660283740222e-08
4,1.0735999999999999e-10,3.4559999999999995e-11,7.177262267971232e-08,8588.8,0.0,0.0,8588.8,0.0,0.0,0.0,2054931667808.6562,-245.72955917293592,-872.9695728871244,473.1435058587207,742.2387319164834,348.4157423776509,-452.61441027646106,-668.3336550917704,-233.1681172844619,-102.77311499684839,550.8070261457153,6.048249366099814e-08
5,1.4883199999999998e-10,4.147199999999999e-11,1.006723184664246e-07,11906.559999999998,0.0,0.0,11906.559999999998,0.0,0.0,0.0,2054920890612.0698,-259.8677896946773,-826.7574342763788,481.3860357556004,727.3540991670733,317.1051025646787,-475.8693683103721,-673.6803365093295,-251.31431447604885,-57.322794328074636,553.2931301248019,8.342866635353391e-08
6,1.9859839999999997e-10,4.976639999999999e-11,1.348049133481973e-07,15887.871999999996,0.0,0.0,15887.871999999996,0.0,0.0,0.0,2054893186547.8384,-243.0709981386684,-814.0084136021492,482.1134597354291,724.0346945623365,297.2470077533245,-469.4413046463731,-659.9185133238375,-254.4510236380174,-54.26048705102449,536.8106427681066,1.101437995257886e-07
7,2.5831807999999997e-10,5.971967999999998e-11,1.749211310787356e-07,20665.446399999993,0.0,0.0,20665.446399999993,0.0,0.0,0.0,2054908049958.543,-232.5879445382838,-819.6623564842251,477.8100116215487,712.7932061744082,311.32833197364755,-458.60822100660255,-664.0035814246681,-256.2291154876087,-78.80542208789899,538.9950624198977,1.423324121750849e-07
8,3.29981696e-10,7.166361599999998e-11,2.2314931159063168e-07,26398.535679999994,0.0,0.0,26398.535679999994,0.0,0.0,0.0,2054945293517.4016,-244.77009007545692,-817.7956205124667,479.9681225319782,703.2500869340114,333.49975568957433,-466.71109365602115,-651.605939146062,-242.50074288823308,-88.79540196975063,548.8168678628424,1.8166261344793037e-07
9,4.1597803519999995e-10,8.599633919999998e-11,2.7905639522927897e-07,33278.24281599999,0.0,0.0,33278.24281599999,0.0,0.0,0.0,2055033546165.6326,-207.80202799982902,-814.0861364990747,464.52866979712235,692.7192146761361,316.91180620737657,-428.79239451488644,-671.7085195810934,-282.9735446187776,-109.18265391917663,540.1652300678337,2.2811484579688984e-07
10,5.191736422399999e-10,1.0319560703999998e-10,3.4400600270392824e-07,41533.89137919999,0.0,0.0,41533.89137919999,0.0,0.0,0.0,2055223294216.9624,-187.33838822689629,-788.9788275138643,491.94428323307176,679.594882773636,296.7771202833263,-448.6146924837268,-659.7585065956828,-248.94434636038758,-109.50072758443451,515.4417373929945,2.8130616878091217e-07
11,6.430083706879998e-10,1.2383472844799998e-10,4.2465702133661903e-07,51440.66965503999,0.0,0.0,51440.66965503999,0.0,0.0,0.0,2055523008426.6816,-224.01236754118847,-753.2599366472095,493.433444587177,666.0614320117954,312.8700605554252,-411.1142444593801,-661.4933850827884,-275.1255705189898,-89.11956768438635,522.4288890579015,3.460010083907877e-07
12,7.916100448255998e-10,1.4860167413759998e-10,5.165196192181961e-07,63328.80358604799,0.0,0.0,63328.80358604799,0.0,0.0,0.0,2055974512417.005,-165.41731868887817,-702.8405752710565,513.9565493364357,618.5412505592247,244.70952384532427,-405.7415825161396,-645.3648823923869,-277.56184438038906,-79.34926020990706,475.5214647483749,4.1666429414076e-07
13,9.416100448255998e-10,1.5e-10,6.064647861814376e-07,75328.80358604799,0.0,0.0,75328.80358604799,0.0,0.0,0.0,2056494861266.6914,-147.32967294570776,-665.5562424096149,569.5520811614367,611.2892600161858,192.92620816884641,-392.3316156954816,-648.4833628269098,-243.87814974055368,-45.65367310658294,422.6738469289924,4.800653711801089e-07
14,1.0916100448256e-09,1.5e-10,6.873965329662041e-07,87328.80358604799,0.0,0.0,87328.80358604799,0.0,0.0,0.0,2057088681951.5198,-92.26918723532684,-603.7075795631971,599.399579675722,587.1879649464319,166.49506464783607,-358.1690635666076,-632.2911994417944,-224.1148264305241,-74.27593140519215,375.9040355244236,5.364509765087724e-07
15,1.2416100448256e-09,1.5e-10,7.688643878905996e-07,99328.803586048,0.0,0.0,99328.80358604799,0.0,0.0,0.0,2057473326011.1692,-75.77528178834037,-560.6939779160109,615.6338580624644,546.6415930851334,98.7347390220946,-403.3057525283199,-602.5670799298134,-148.7903737346364,-23.01437834912164,335.2703138792564,5.867415235906608e-07
16,1.3916100448256001e-09,1.5e-10,8.600738469946553e-07,111328.80358604799,0.0,0.0,111328.80358604799,0.0,0.0,0.0,2057721064267.2202,-97.8079523901406,-522.7488165921998,605.7392168312603,538.619115043699,54.51649304213222,-463.43850777559095,-590.0167738286535,-144.15028048473366,43.2335917884697,364.45318458075116,6.414095012777735e-07
17,1.5416100448256002e-09,1.5e-10,9.514777026241045e-07,123328.80358604799,0.0,0.0,123328.80358604799,0.0,0.0,0.0,2058114313007.52,-95.00208244940579,-480.4402314243209,631.7420735008724,484.3507601498025,17.003508766837253,-485.42341694835795,-560.9100821012247,-65.45741345830183,77.94442346290276,336.29443885194195,6.918536671055648e-07
18,1.6916100448256003e-09,1.5e-10,1.0415833509439334e-06,135328.803586048,0.0,0.0,135328.803586048,0.0,0.0,0.0,2058622490564.228,-73.80767254987269,-394.5898091338713,687.6050602997732,462.4137738248894,-26.2368065101344,-481.0389823793401,-611.5280676652073,-14.418082052687899,99.97785366519318,309.9077976987604,7.383398367603789e-07
19,1.8416100448256005e-09,1.5e-10,1.1401959005883525e-06,147328.803586048,0.0,0.0,147328.803586048,0.0,0.0,0.0,2058513132792.5881,-77.26792201395087,-392.9582602276574,636.8974143454578,440.51021647887575,-103.45383017539704,-517.9884340360011,-552.599993232893,26.882430501853552,180.66865439984247,341.16502816220583,7.895145909847098e-07
20,1.9916100448256006e-09,1.5e-10,1.228952625773103e-06,159328.803586048,0.0,0.0,159328.803586048,0.0,0.0,0.0,2058209814997.464,16.496867291616333,-390.4989751821926,641.0564925827609,456.3988795161826,-123.13049074004005,-521.9205744870803,-524.9134004875297,35.8052562523883,106.58369250396655,320.274264566734,8.375557306697199e-07
21,2.1416100448256007e-09,1.5e-10,1.3176398640073953e-06,171328.803586048,0.0,0.0,171328.803586048,0.0,0.0,0.0,2056599270776.7932,43.997488437235944,-440.86803965684146,574.28823865328,494.22780113902417,-128.22843699314083,-480.16470269388003,-503.2324843498089,-35.736533990557206,84.18231524615726,329.13027656891245,8.869252721550568e-07
22,2.2916100448256008e-09,1.5e-10,1.41008175195994e-06,183328.803586048,0.0,0.0,183328.803586048,0.0,0.0,0.0,2056453399831.2654,19.895367840363257,-402.1784570553588,514.9486464255959,420.22853095726316,-117.92706031931611,-536.1220494083918,-446.91513794467085,17.40846317236298,97.98501442453576,327.52888347319913,9.360546046760367e-07
23,2.441610044825601e-09,1.5e-10,1.4913096581660967e-06,195328.803586048,0.0,0.0,195328.803586048,0.0,0.0,0.0,2054991307563.1294,75.76893823137686,-384.8995373234768,584.5562933110405,409.9941388121674,-93.47262935341581,-515.3450910865246,-486.5007918245877,34.0284495167772,17.621942118802153,300.82526734168897,9.8117839477729e-07
24,2.591610044825601e-09,1.5e-10,1.5809011566436632e-06,207328.803586048,0.0,0.0,207328.803586048,0.0,0.0,0.0,2053550493457.9797,25.15666854158064,-371.402412023581,486.20487653521104,343.58363258886317,-104.29980170876314,-544.4487949476255,-406.9166507418677,75.78172997028472,79.10152313041601,295.66086437756616,1.0255275244339249e-06
25,2.741610044825601e-09,1.5e-10,1.6812529026342218e-06,219328.803586048,0.0,0.0,219328.803586048,0.0,0.0,0.0,2051532747305.993,10.707892464326594,-336.9290726253266,526.3532433048879,312.4944741065686,-160.61644776866373,-472.4595019398348,-413.4866136213517,-38.05675018248394,149.86804380051046,351.5244111944426,1.0782561861130912e-06
26,2.891610044825601e-09,1.5e-10,1.7845687259524345e-06,231328.803586048,0.0,0.0,231328.803586048,0.0,0.0,0.0,2051211631664.958,-19.316995994688238,-292.2451724077462,525.1245926992875,290.5563035631371,-138.6147195986983,-537.6241293956059,-359.9605576360604,13.29794234882203,157.8927073686112,361.1253470782267,1.1324249881748252e-06
27,3.0416100448256013e-09,1.5e-10,1.887168984401894e-06,243328.803586048,0.0,0.0,243328.803586048,0.0,0.0,0.0,2049959375164.2346,21.060100050171766,-288.0666805079982,447.7605398153758,242.59627657763815,-187.4238939793599,-486.48899076367553,-381.1564790137007,-5.926043652765078,166.32556307884232,353.7640919370868,1.1854896019653882e-06
28,3.1916100448256014e-09,1.5e-10,1.9846311313018e-06,255328.80358604796,0.0,0.0,255328.803586048,0.0,0.0,0.0,2048747073942.5256,20.344022111234356,-293.4815707723593,507.7911219743007,201.41575936029759,-157.53671206819794,-438.7160793400452,-348.19736655740064,1.509057604017292,137.15528669882815,323.10101380375096,1.2339547540359508e-06
