step,time(s),dt(s),strain_eq,sigma_vm(Pa),s_xx(Pa),s_yy(Pa),s_zz(Pa),s_yz(Pa),s_zx(Pa),s_xy(Pa),density(1/m^2),Lpxx,Lpxy,Lpxz,Lpyx,Lpyy,Lpyz,Lpzx,Lpzy,Lpzz,epdot_eq(1/s),ep_eq(-)
1,2e-11,2e-11,1.0758054429054822e-08,1600.0,0.0,0.0,1600.0,0.0,0.0,0.0,956686211770.9608,-189.92740577435256,53.50132885779721,172.6472256629263,11.59314433192603,196.934235588964,-186.54080489470746,-151.56282025078508,322.38879902359633,-7.006829814551745,240.10118467758838,4.802023693551767e-09
2,4.3999999999999997e-11,2.3999999999999998e-11,2.3831033375150106e-08,3520.0000000000005,0.0,0.0,3520.0,0.0,0.0,0.0,956689444586.7332,-192.91598101222053,51.02370918809473,172.6513090217767,13.04355685514492,192.67225952787823,-182.7510972908649,-149.95682127634507,326.0600051089462,0.24372148431698454,240.71806943364882,1.0579257359959337e-08
3,7.28e-11,2.8799999999999997e-11,3.967312313436837e-08,5824.0,0.0,0.0,5824.0,0.0,0.0,0.0,956696314703.3025,-198.46961447914342,52.02033683758836,173.34649684898505,17.744787086043495,193.90823327139907,-184.30473091921178,-149.9416607340156,323.39757905625856,4.561381207722556,244.12058036514006,1.760993007447537e-08
4,1.0735999999999999e-10,3.4559999999999995e-11,5.853657751952333e-08,8588.8,0.0,0.0,8588.8,0.0,0.0,0.0,956708708691.8464,-195.6857792395784,49.26796542107929,170.5354567158457,15.340150624079941,195.62526432205954,-180.7055624074665,-149.8240991848926,323.02151225292556,0.060514917601764105,243.57157905467187,2.602776384660483e-08
5,1.4883199999999998e-10,4.147199999999999e-11,8.072746327014339e-08,11906.559999999998,0.0,0.0,11906.559999999998,0.0,0.0,0.0,956728497034.2117,-179.97087303144866,45.0617463607518,169.32789693868574,42.83001702701109,185.4137478337098,-186.41315945424492,-136.20481641652705,319.0932607587254,-5.442874802276243,230.95519452913393,3.560593767411707e-08
6,1.9859839999999997e-10,4.976639999999999e-11,1.0727002521000242e-07,15887.871999999996,0.0,0.0,15887.871999999996,0.0,0.0,0.0,956761778223.097,-168.26233566184516,48.69863316928946,167.0647398788717,45.50217090238044,169.4051124929194,-181.39410223806107,-143.04747693997857,320.47207124807346,-1.1427768310668762,218.18686580603526,4.646431251256654e-08
7,2.5831807999999997e-10,5.971967999999998e-11,1.3873418371281698e-07,20665.446399999993,0.0,0.0,20665.446399999993,0.0,0.0,0.0,956798225482.1913,-162.13586060650115,43.95314873538589,174.5659718878811,51.95875695450578,168.62225595935212,-185.64635259821452,-141.66459766940812,318.3563944662425,-6.4863953528262845,214.02546650601715,5.9245844884156605e-08
8,3.29981696e-10,7.166361599999998e-11,1.7567997125266865e-07,26398.535679999994,0.0,0.0,26398.535679999994,0.0,0.0,0.0,956848380323.7412,-145.7583273499331,49.335799921306304,182.48367810964228,55.56599439061334,158.45142389807643,-185.69704824229456,-141.04441645761872,310.88093844897907,-12.693096548095047,201.1794572661593,7.366309225676705e-08
9,4.1597803519999995e-10,8.599633919999998e-11,2.1968172520786567e-07,33278.24281599999,0.0,0.0,33278.24281599999,0.0,0.0,0.0,956901316508.8499,-135.42717934143178,45.22817126320177,176.73725523399705,43.78526976006628,147.053326159276,-187.62693305718904,-149.60220270149802,320.6152839172109,-11.62614681788617,188.45542627779844,8.98695690190332e-08
10,5.191736422399999e-10,1.0319560703999998e-10,2.71819942046469e-07,41533.89137919999,0.0,0.0,41533.89137919999,0.0,0.0,0.0,956998073257.283,-131.87994329159415,50.053049645926585,177.400788584994,54.1523081766328,151.856763060239,-189.4829255644608,-150.17336344824656,319.9615570621998,-19.97681976865062,191.7711318834869,1.0965950738649752e-07
