step,time(s),dt(s),strain_eq,sigma_vm(Pa),s_xx(Pa),s_yy(Pa),s_zz(Pa),s_yz(Pa),s_zx(Pa),s_xy(Pa),density(1/m^2),Lpxx,Lpxy,Lpxz,Lpyx,Lpyy,Lpyz,Lpzx,Lpzy,Lpzz,epdot_eq(1/s),ep_eq(-)
1,2e-11,2e-11,8.641558389423178e-09,1200.0,0.0,0.0,1200.0,0.0,0.0,0.0,956686211770.961,-189.92740578873367,53.5013286633414,172.6472259780905,11.593144265711981,196.9342357928499,-186.5408051053832,-151.5628202316429,322.3887992452495,-7.006830004000151,240.1011847886438,4.802023695772875e-09
2,4.3999999999999997e-11,2.3999999999999998e-11,1.9161981034239478e-08,2640.0,0.0,0.0,2640.0,0.0,0.0,0.0,956689444586.7355,-192.82046234443905,51.021229332712736,172.64862841780288,13.033342873804271,192.7550280088051,-182.73321106235193,-149.95678889981144,326.0471389678115,0.06543433553546989,240.71093406758163,1.0579086113394834e-08
3,7.28e-11,2.8799999999999997e-11,3.1938531024880155e-08,4368.0,0.0,0.0,4368.0,0.0,0.0,0.0,956696314703.4324,-198.2593925519453,52.01500836927112,173.34071300260592,17.72225184676452,194.09037428475025,-184.26535967894017,-149.94161724736597,323.3692934246456,4.169018267189642,244.09778723896525,1.760910238587703e-08
4,1.0735999999999999e-10,3.4559999999999995e-11,4.712352519325038e-08,6441.6,0.0,0.0,6441.6,0.0,0.0,0.0,956708708743.0535,-195.33794651071295,49.25919224584177,170.52629628752302,15.302948630710477,195.9257355845379,-180.64064040658232,-149.8239377345488,322.97484258362726,-0.5877890739568723,243.54615456371258,2.6026057487598936e-08
5,1.4883199999999998e-10,4.147199999999999e-11,6.484478455988043e-08,8929.92,0.0,0.0,8929.92,0.0,0.0,0.0,956728497107.2866,-179.45715182716182,45.048996428581965,169.31460785076433,42.77552754435283,185.85768376001008,-186.31814796824867,-136.2052400976406,319.0251774999342,-6.400531932849272,230.93892587894354,3.560355662165048e-08
6,1.9859839999999997e-10,4.976639999999999e-11,8.592534321528006e-08,11915.903999999999,0.0,0.0,11915.903999999999,0.0,0.0,0.0,956761778313.1543,-167.54848242128324,48.68117807045939,167.04637293142963,45.42681499797629,170.01963935070128,-181.26318880300965,-143.04848197787544,320.37763428730267,-2.471156929466929,218.1403208627916,4.6459615085836506e-08
7,2.5831807999999997e-10,5.971967999999998e-11,1.1080481253970575e-07,15499.084799999997,0.0,0.0,15499.084799999997,0.0,0.0,0.0,956798225620.063,-161.18497121134178,43.9301323702949,174.54433510678217,51.85703222975552,169.4433268153334,-185.47093806349378,-141.66779689603385,318.2314873949119,-8.258355604037664,214.010189705602,5.924023513179435e-08
8,3.29981696e-10,7.166361599999998e-11,1.39735704897965e-07,19798.901759999997,0.0,0.0,19798.901759999997,0.0,0.0,0.0,956848380401.1035,-144.5187665834633,49.309495402159484,182.45809287647486,55.437199905907754,159.50836287234787,-185.46783307832766,-141.0459199710907,310.7213594538465,-14.989596288835385,201.23108072400922,7.366118202806474e-08
9,4.1597803519999995e-10,8.599633919999998e-11,1.7395279454493128e-07,24958.682111999995,0.0,0.0,24958.682111999995,0.0,0.0,0.0,956901315994.468,-133.8463194582784,45.19439698358241,176.70738025007427,43.623109083408565,148.41196450676256,-187.33279672997188,-149.60225779375529,320.40425610789487,-14.565645048505552,188.53599414278827,8.987458733177717e-08
10,5.191736422399999e-10,1.0319560703999998e-10,2.1435287234191914e-07,31150.418534399992,0.0,0.0,31150.418534399992,0.0,0.0,0.0,956998071924.5808,-129.883071839996,50.01981756393084,177.3497675013536,53.949029406893736,153.56967330668058,-189.10451453823555,-150.17982136161953,319.69731196334294,-23.686601466674176,192.03370351000396,1.0969162193763141e-07
11,6.430083706879998e-10,1.2383472844799998e-10,2.632856812848621e-07,38580.50224127999,0.0,0.0,38580.50224127999,0.0,0.0,0.0,957151686336.6453,-132.18059958701286,48.64057295193609,185.75538844291847,47.510793867064045,152.88656730916546,-186.6295776017556,-158.79381203500907,327.0335217536689,-20.705967722167262,193.42076794484632,1.3364383021228506e-07
12,7.916100448255998e-10,1.4860167413759998e-10,3.213736290477585e-07,47496.60268953598,0.0,0.0,47496.60268953598,0.0,0.0,0.0,957371845434.8182,-125.33324108729356,47.99849111787962,182.17934137615117,49.17920845032783,148.99947243115002,-180.38454065383345,-150.3184125511532,327.3506586842162,-23.666231343854868,190.60987483368208,1.619687767197286e-07
13,9.416100448255998e-10,1.5e-10,3.7945053823664133e-07,56496.60268953598,0.0,0.0,56496.60268953598,0.0,0.0,0.0,957625932517.3275,-123.2639601603429,48.424345374276264,190.5143477006432,51.17256048154024,153.2678647436475,-179.38302225147953,-157.65993402006492,333.8703283289568,-30.003904583314657,194.96652443337348,1.912137553847346e-07
14,1.0916100448256e-09,1.5e-10,4.3569686595967623e-07,65496.60268953598,0.0,0.0,65496.60268953598,0.0,0.0,0.0,957846388708.5972,-104.98310225287227,34.78348149613398,208.05090580441535,73.77157757686106,142.06198746752847,-162.34343692886338,-166.72781527166015,318.7791410231861,-37.0788852146455,185.40022987962234,2.1902378986667796e-07
15,1.2416100448256e-09,1.5e-10,4.877160820840612e-07,74496.60268953598,0.0,0.0,74496.60268953598,0.0,0.0,0.0,958052175735.3032,-78.29724718795717,27.082033810164447,246.88870738775242,109.21509563120577,151.2403429093768,-127.50991828567794,-204.3226225215535,321.2105047560792,-72.94309572141844,205.39254058325764,2.498326709541666e-07
16,1.3916100448256001e-09,1.5e-10,5.498300069232597e-07,83496.602689536,0.0,0.0,83496.60268953598,0.0,0.0,0.0,958260722330.7124,-139.6904152916968,-10.481688506969316,190.743389644467,143.2740663277418,153.87622411906057,-136.5745410102097,-159.83533071011283,337.2386959661803,-14.185808827338747,220.3333157512059,2.828826683168475e-07
17,1.5416100448256002e-09,1.5e-10,6.090707206410341e-07,92496.60268953598,0.0,0.0,92496.60268953598,0.0,0.0,0.0,958452128272.1655,-134.98145871354464,13.893999152403769,179.94980928779765,40.33845798308303,147.13551049386618,-206.12358133859917,-155.71561603736745,319.47405373438687,-12.15405178031388,179.26696327043535,3.097727128074128e-07
18,1.6916100448256003e-09,1.5e-10,6.662161702027162e-07,101496.60268953597,0.0,0.0,101496.60268953598,0.0,0.0,0.0,958615190860.2578,-112.20937665829,-6.438071854021971,205.9219951199615,109.51245592885135,146.61249312353195,-160.79119377844762,-189.43845694994673,328.45699281626264,-34.403116465192916,191.09102490254165,3.3843636654279407e-07
