step,time(s),dt(s),strain_eq,sigma_vm(Pa),s_xx(Pa),s_yy(Pa),s_zz(Pa),s_yz(Pa),s_zx(Pa),s_xy(Pa),density(1/m^2),Lpxx,Lpxy,Lpxz,Lpyx,Lpyy,Lpyz,Lpzx,Lpzy,Lpzz,epdot_eq(1/s),ep_eq(-)
1,2e-11,2e-11,1.2148317447200417e-08,1200.0,0.0,0.0,1200.0,0.0,0.0,0.0,2055017897449.059,-279.18443884903985,-892.0687123347511,469.80759710071123,767.5741873674554,396.6268126514915,-453.26209828382696,-674.664684498831,-186.63787481878384,-120.05026641378578,567.531197477844,1.135062394955688e-08
2,4.3999999999999997e-11,2.3999999999999998e-11,2.6559685675258364e-08,2640.0,0.0,0.0,2640.0,0.0,0.0,0.0,2054973623699.84,-250.25107038415894,-894.8957544191901,476.9537415821064,769.6299399484366,375.2865208796061,-453.9983813250372,-674.5433813386778,-226.47363160684046,-125.12835733978666,564.5117961517702,2.4898907057199364e-08
3,7.28e-11,2.8799999999999997e-11,4.448812340353835e-08,4368.0,0.0,0.0,4368.0,0.0,0.0,0.0,2054951648370.2224,-279.8359101966545,-883.105237250338,483.75689323930726,767.657850650309,384.6444346925819,-448.2781909403078,-667.6749500409268,-236.89793891714643,-104.89754349574626,574.7887218885779,4.145282224759041e-08
4,1.0735999999999999e-10,3.4559999999999995e-11,6.524313962531635e-08,6441.6,0.0,0.0,6441.6,0.0,0.0,0.0,2054931667869.86,-245.05203537858654,-873.0449357572262,473.1532730246935,742.2843358490474,349.10313329021744,-452.5852732092544,-668.3618639112474,-233.1676383291556,-104.13802975607506,551.0590525049901,6.049742310216286e-08
5,1.4883199999999998e-10,4.147199999999999e-11,9.126783062941382e-08,8929.92,0.0,0.0,8929.92,0.0,0.0,0.0,2054920890820.824,-258.8716542777737,-826.8683009270701,481.4039500113773,727.422579767654,318.1162853596982,-475.82337839926106,-673.7223696364681,-251.31731373726223,-59.33011260679321,553.4963250307957,8.345202269384001e-08
6,1.9859839999999997e-10,4.976639999999999e-11,1.2184831847540228e-07,11915.903999999999,0.0,0.0,11915.903999999999,0.0,0.0,0.0,2054893187030.8103,-241.69248556346994,-814.1638556480673,482.1306685555154,724.1269464016191,298.6447697830083,-469.3866051866397,-659.9765679748998,-254.45047962779162,-57.03676172821089,537.0878981103145,1.1018095386635716e-07
7,2.5831807999999997e-10,5.971967999999998e-11,1.576875607993018e-07,15499.084799999997,0.0,0.0,15499.084799999997,0.0,0.0,0.0,2054908051316.7434,-227.328768082356,-819.2169595403502,477.8463506436593,713.5620485466779,313.1750969231203,-457.8640957597171,-664.0828866790923,-255.58524704889635,-85.91136346750338,538.2479346090072,1.4232494828186797e-07
8,3.29981696e-10,7.166361599999998e-11,2.0114876358860485e-07,19798.901759999997,0.0,0.0,19798.901759999997,0.0,0.0,0.0,2054945352630.0303,-242.79905088299688,-817.7821980468265,480.06826323945774,703.4489001437421,335.87124985533967,-466.6485411789155,-651.6955425571311,-242.22136344708937,-93.13793487723322,549.5136239452725,1.8170508161505037e-07
9,4.1597803519999995e-10,8.599633919999998e-11,2.5142446674979453e-07,24958.682111999995,0.0,0.0,24958.682111999995,0.0,0.0,0.0,2055033662332.7178,-204.9145348366531,-814.2586406987714,464.61756206962883,692.8640626989774,319.91882141516453,-428.8248269000465,-671.7791827984563,-282.8221266094626,-115.07716162745226,541.3734112214197,2.2826121312030866e-07
10,5.191736422399999e-10,1.0319560703999998e-10,3.0931437555371523e-07,31150.418534399992,0.0,0.0,31150.418534399992,0.0,0.0,0.0,2055223425480.6033,-184.15721450765776,-789.4906000905071,491.67719943533314,679.9104317832998,301.65912646853536,-447.9572943828184,-660.5969126002057,-248.49944078716624,-117.56390226123533,517.384584697982,2.8165302941135516e-07
11,6.430083706879998e-10,1.2383472844799998e-10,3.8121810291233936e-07,38580.50224127999,0.0,0.0,38580.50224127999,0.0,0.0,0.0,2055523201752.673,-220.71099221197207,-753.7845449251281,492.6057291489214,666.0595130264786,318.6926323321137,-410.8239673092903,-662.5568145444553,-273.8639908308065,-98.24351175058597,524.4797103939926,3.466018319244809e-07
12,7.916100448255998e-10,1.4860167413759998e-10,4.611736027028876e-07,47496.60268953598,0.0,0.0,47496.60268953598,0.0,0.0,0.0,2055974920005.5225,-157.6849763524294,-703.3354530147212,514.5145120427658,618.8016760547913,247.697221460217,-405.4909762415347,-643.965935132218,-276.111521860728,-90.06929643828083,475.09559834513664,4.17201833213973e-07
13,9.416100448255998e-10,1.5e-10,5.376544466197832e-07,56496.60268953598,0.0,0.0,56496.60268953598,0.0,0.0,0.0,2056495165633.0312,-139.97114577617683,-664.5640835853496,569.5125897005673,611.424287135472,198.62913028655353,-392.59236842706673,-648.5813149874218,-243.18708622118407,-58.71511692579447,423.58669016146933,4.807398367381934e-07
14,1.0916100448256e-09,1.5e-10,6.045856853087006e-07,65496.60268953598,0.0,0.0,65496.60268953598,0.0,0.0,0.0,2057089035149.582,-84.22524075307489,-605.2538057371434,600.1076505967293,587.1205606790677,176.62413987917006,-358.17002081772284,-633.377390159982,-223.0421843151991,-92.44893973282844,379.87580707112033,5.377212077988615e-07
15,1.2416100448256e-09,1.5e-10,6.698083233243061e-07,74496.60268953598,0.0,0.0,74496.60268953598,0.0,0.0,0.0,2057473538842.738,-66.14329503488862,-564.8884514952639,614.1376840337069,544.6121150048363,114.81478396404769,-404.02809392187964,-605.7512603094607,-147.69524546027623,-48.72640399267208,338.99034903913997,5.885697601547324e-07
16,1.3916100448256001e-09,1.5e-10,7.433917050315248e-07,83496.602689536,0.0,0.0,83496.60268953598,0.0,0.0,0.0,2057739082995.0386,-100.77541262147022,-522.2440155648344,614.7976673943742,541.4793092160703,71.14507717932825,-453.97480909415066,-581.5087988534519,-131.93490829646478,29.572472231856345,354.4723854044219,6.417406179653957e-07
17,1.5416100448256002e-09,1.5e-10,8.17896311900088e-07,92496.60268953598,0.0,0.0,92496.60268953598,0.0,0.0,0.0,2058085533914.6387,-106.3936256047354,-488.06749058572524,641.9087418049967,475.232886697806,15.480615646605534,-472.6163471368494,-564.4363232425661,-54.78548095312032,90.85864777526746,328.6074074935274,6.910317290894248e-07
18,1.6916100448256003e-09,1.5e-10,8.905832042417482e-07,101496.60268953597,0.0,0.0,101496.60268953598,0.0,0.0,0.0,2058554938180.1077,-71.43346331912548,-409.9799280480831,664.044289666825,463.45690153562555,-10.878691953825461,-496.1209315735635,-589.1717691215017,-27.173213088324534,82.24505908739656,319.51688197077317,7.389592613850408e-07
19,1.8416100448256005e-09,1.5e-10,9.646622066690196e-07,110496.60268953597,0.0,0.0,110496.60268953598,0.0,0.0,0.0,2058382385112.2114,-28.43575444249152,-394.22275293016054,627.8095235559905,467.35188202699163,-111.1953100392396,-518.4995115537681,-539.0723470396646,12.75202032532567,139.57241164400662,333.8210974446915,7.890324260017445e-07
20,1.9916100448256006e-09,1.5e-10,1.0348764774688263e-06,119496.60268953597,0.0,0.0,119496.60268953598,0.0,0.0,0.0,2058204898716.3323,12.92970258327749,-394.47926171656525,606.5308941816745,461.04654420828194,-92.78518055649484,-532.016213788282,-519.4545193432381,18.725410357176322,79.80112735731683,319.25429820905566,8.369205707331028e-07
21,2.1416100448256007e-09,1.5e-10,1.1005044688514617e-06,128496.60268953598,0.0,0.0,128496.60268953598,0.0,0.0,0.0,2057193508061.4868,68.60238127488212,-445.24588190024826,572.7151862884891,488.0820701670399,-105.15049450497952,-486.0275653713607,-479.7706674700957,-25.653120962714127,36.49636359133133,319.62506310996844,8.848643301995981e-07
22,2.2916100448256008e-09,1.5e-10,1.174163030226971e-06,137496.602689536,0.0,0.0,137496.602689536,0.0,0.0,0.0,2056593091552.4036,13.751649781473535,-389.8506371409047,499.7690548606607,431.03537590489583,-68.93759079429903,-557.7451633269935,-433.3765515585395,0.956071438801466,55.13711103590488,332.70679818056936,9.347703499266835e-07
23,2.441610044825601e-09,1.5e-10,1.2363317238266414e-06,146496.602689536,0.0,0.0,146496.602689536,0.0,0.0,0.0,2055206551606.6543,80.28805889985847,-390.7033313305025,565.614042031847,421.0986000299232,-74.19106445601275,-520.8809692441799,-462.17121566341467,38.30736345557042,-6.180705191572221,299.1537791936877,9.796434168057368e-07
24,2.591610044825601e-09,1.5e-10,1.301307454389482e-06,155496.602689536,0.0,0.0,155496.602689536,0.0,0.0,0.0,2053606931833.3645,60.12059144962071,-361.4746404373517,529.8948518210362,357.3641789658228,-80.4339415520355,-527.4962508784275,-419.59100798203013,64.15001549408005,20.26987944969881,287.4389863777027,1.0227592647623921e-06
25,2.741610044825601e-09,1.5e-10,1.3816717119019586e-06,164496.602689536,0.0,0.0,164496.602689536,0.0,0.0,0.0,2052719867540.8904,-4.901397028966418,-337.0400371377652,539.7059124474641,322.21931537864856,-110.12493386736591,-522.216301787876,-416.32916562616293,-7.919088232273462,114.98435215936992,340.2111399257619,1.0737909357512564e-06
26,2.891610044825601e-09,1.5e-10,1.4576597706184349e-06,173496.60268953603,0.0,0.0,173496.602689536,0.0,0.0,0.0,2051584882903.7615,24.418415120374394,-279.5746535660614,520.1699457410609,295.8534654175571,-105.44296740021099,-520.9529791471161,-375.2457667209509,7.509345692708273,80.98416603722103,327.3317426071028,1.1228906971423218e-06
27,3.0416100448256013e-09,1.5e-10,1.5323973818640673e-06,182496.602689536,0.0,0.0,182496.602689536,0.0,0.0,0.0,2049680170854.5872,43.17749119549555,-301.31252405680345,446.9378275987774,250.57332187432158,-147.26121625343072,-438.3046148346685,-379.4053995495321,-10.110216942908625,104.04436108941249,303.84301763696755,1.168467149787867e-06
28,3.1916100448256014e-09,1.5e-10,1.6051705657090288e-06,191496.602689536,0.0,0.0,191496.602689536,0.0,0.0,0.0,2048743207405.6086,68.17356828064356,-279.50891423085045,505.6097610359431,205.68323487815513,-157.33264331189153,-420.20680167212845,-375.61625219806274,-15.205322889245005,89.12067935016239,309.0952628720548,1.2148314392186751e-06
29,3.3416100448256015e-09,1.5e-10,1.6793902984858172e-06,200496.60268953597,0.0,0.0,200496.602689536,0.0,0.0,0.0,2047494000852.2385,101.01163975578301,-284.032972448765,508.0192346451272,203.80378568329894,-192.17870262477854,-404.6701953217205,-395.77460646982405,-50.77621525476316,91.02282426537977,335.31543913264005,1.265128755088571e-06
30,3.4916100448256016e-09,1.5e-10,1.7531138792426955e-06,209496.60268953597,0.0,0.0,209496.602689536,0.0,0.0,0.0,2046454891721.1047,136.40132073004656,-290.47321619075353,521.0715052966884,164.9972491044743,-239.0433026879626,-377.80878671241175,-399.5594663800843,-38.35090877034258,102.6079657707631,354.1417404821475,1.3182500161608932e-06
31,3.6416100448256017e-09,1.5e-10,1.8227303174161285e-06,218496.60268953597,0.0,0.0,218496.602689536,0.0,0.0,0.0,2045232366809.808,149.48766321524909,-234.732457002047,507.55099682904716,139.41641259533446,-216.32587094727108,-378.58761370227734,-426.7849677923446,-19.434803665676498,66.80519672597491,327.2322828937798,1.3673348585949602e-06
32,3.791610044825601e-09,1.5e-10,1.8985652967281362e-06,227496.602689536,0.0,0.0,227496.602689536,0.0,0.0,0.0,2044074737855.898,134.6738690001139,-257.0369451140876,527.6958141401982,103.00613009080129,-229.64721530877355,-387.9502378657537,-395.3884738720372,-41.776550484391464,94.94150213366609,358.54957980134594,1.4211172955651622e-06
33,3.941610044825601e-09,1.5e-10,1.9820362789233e-06,236496.60268953597,0.0,0.0,236496.602689536,0.0,0.0,0.0,2042372212249.0002,142.69140699708782,-270.5041023396815,539.0312332259294,100.35467340768234,-327.52468928984274,-340.8739928345197,-354.3261728173043,-19.202468451177783,184.78136131275127,414.8399964267709,1.4833432950291778e-06
34,4.091610044825601e-09,1.5e-10,2.062020929249492e-06,245496.60268953597,0.0,0.0,245496.602689536,0.0,0.0,0.0,2041106934481.2146,165.8897301462163,-327.0455720463115,611.0357006531328,39.01509118152852,-301.2767623036301,-318.044631312862,-338.83948426305375,-43.07129206883029,135.3671159771857,432.31151598676763,1.5481900224271929e-06
35,4.2416100448256004e-09,1.5e-10,2.134417326606247e-06,254496.60268953597,0.0,0.0,254496.602689536,0.0,0.0,0.0,2039806868223.473,218.80928593156938,-281.26669892885536,527.9140775193133,81.32924218219244,-313.4179975877813,-306.8069383755528,-346.56332131393776,9.383407353149932,94.58769611562168,396.41484766549695,1.6076522495770175e-06
36,4.3916100448256e-09,1.5e-10,2.2106441415480303e-06,263496.602689536,0.0,0.0,263496.602689536,0.0,0.0,0.0,2038012359039.896,132.1636291587124,-236.92704817908216,486.7036745235232,78.84911517853172,-239.94199857029602,-344.2007655070008,-322.77973897649713,13.168443452864395,107.74860715068458,334.0361195928518,1.6577576675159452e-06
37,4.5416100448256e-09,1.5e-10,2.2894069203086086e-06,272496.602689536,0.0,0.0,272496.602689536,0.0,0.0,0.0,2033531578548.3599,97.05428210537697,-257.0203761832656,452.5555159094183,84.26084091428262,-230.10593083537822,-330.7909054861763,-310.62991093613704,19.365817633705163,133.0226973171108,319.9484030702229,1.7057499279764786e-06
38,4.6916100448255995e-09,1.5e-10,2.360607576564487e-06,281496.602689536,0.0,0.0,281496.602689536,0.0,0.0,0.0,2031304971613.7917,106.92860405971379,-199.98960271076447,429.03175902816344,73.2830473393581,-195.77718227608196,-303.7156180953384,-310.8050470743406,36.606782845301865,88.8198639031371,268.7514563321265,1.7460626464262976e-06
39,4.841610044825599e-09,1.5e-10,2.433535386866886e-06,290496.602689536,0.0,0.0,290496.602689536,0.0,0.0,0.0,2028469413259.4202,181.8602767664042,-144.87370552320462,411.42178538519534,52.527562619926556,-247.83432937827155,-347.8162852099577,-328.34042846568957,2.7645216323119914,65.94430143216896,332.7553523112525,1.7959759492729855e-06
