step,time(s),dt(s),strain_eq,sigma_vm(Pa),s_xx(Pa),s_yy(Pa),s_zz(Pa),s_yz(Pa),s_zx(Pa),s_xy(Pa),density(1/m^2),Lpxx,Lpxy,Lpxz,Lpyx,Lpyy,Lpyz,Lpzx,Lpzy,Lpzz,epdot_eq(1/s),ep_eq(-)
1,2e-11,2e-11,7.287101165217859e-09,1200.0,0.0,0.0,1200.0,0.0,0.0,0.0,1430428346485.4185,399.58047234041607,203.37479526912298,259.12055932618546,6.340562837803517,-59.62539128429816,-129.59097553014004,-635.0210128178071,109.18988612344504,-343.80881003053406,499.5152199357954,9.990304398715908e-09
2,4.3999999999999997e-11,2.3999999999999998e-11,1.6127472679278533e-08,2640.0,0.0,0.0,2640.0,0.0,0.0,0.0,1430424917602.9485,412.1412891438891,211.72977344448438,254.37899691601677,13.486578963236573,-53.19846136523142,-134.66965710690874,-628.3935251126836,119.93753650713369,-358.9235429288513,514.4121448884503,2.2336195876038712e-08
3,7.28e-11,2.8799999999999997e-11,2.704330632580164e-08,4368.0,0.0,0.0,4368.0,0.0,0.0,0.0,1430421967866.798,408.57472602501934,199.45338564371409,240.6417416831566,12.130715053096466,-64.4860213407041,-150.93101970234576,-641.4383905839521,125.30464929531345,-344.07376178148235,511.53999869038955,3.706854783832193e-08
4,1.0735999999999999e-10,3.4559999999999995e-11,4.026985754290201e-08,6441.6,0.0,0.0,6441.6,0.0,0.0,0.0,1430433334720.764,416.0607770313335,199.83484527253418,237.58690899419952,13.810173722113166,-63.359585121143844,-152.86343845675037,-640.4862912286584,116.7732894438377,-352.6883653990342,520.3507745738677,5.50518706075948e-08
5,1.4883199999999998e-10,4.147199999999999e-11,5.654607973734766e-08,8929.92,0.0,0.0,8929.92,0.0,0.0,0.0,1430447357781.3477,410.98300295939833,202.0520885418177,230.7737073716184,16.4471107256993,-82.01136044613853,-133.4768210453707,-639.1735461019687,97.71588020764861,-328.96031917054836,511.04687989466026,7.624600681058614e-08
6,1.9859839999999997e-10,4.976639999999999e-11,7.596471368499397e-08,11915.903999999999,0.0,0.0,11915.903999999999,0.0,0.0,0.0,1430445856448.7454,403.5055557764485,205.766630699617,229.1331302860752,20.000778077276014,-77.54781983595112,-132.55530255296884,-639.9819742923771,93.35567582337653,-325.9476065080004,507.0991968727665,1.0148250828183499e-07
7,2.5831807999999997e-10,5.971967999999998e-11,9.899806319680625e-08,15499.084799999997,0.0,0.0,15499.084799999997,0.0,0.0,0.0,1430456977382.1343,374.84423032927015,200.26496583421604,213.2257711686851,24.59305490476074,-78.29259118489195,-123.70889956681704,-637.2012494279954,88.46614420951278,-296.54252915668934,483.29052144284907,1.3034446356943508e-07
8,3.29981696e-10,7.166361599999998e-11,1.26459459530898e-07,19798.901759999997,0.0,0.0,19798.901759999997,0.0,0.0,0.0,1430494814015.1655,367.53495710761183,199.4756959896973,210.64010093756193,26.877322544618494,-57.33626518753725,-133.72380401226224,-657.9471547247199,69.60740190594768,-310.19049328411637,491.46219611739156,1.655644216705085e-07
9,4.1597803519999995e-10,8.599633919999998e-11,1.58941403390211e-07,24958.682111999995,0.0,0.0,24958.682111999995,0.0,0.0,0.0,1430585869067.3965,348.4324167493539,191.5707478199722,215.77208488436696,47.76486394705474,-40.19897247831214,-129.59206520522653,-674.4501184545303,41.05775243090491,-308.2260779349577,487.0161671432337,2.0744602917604192e-07
10,5.191736422399999e-10,1.0319560703999998e-10,1.9918804074460666e-07,31150.418534399992,0.0,0.0,31150.418534399992,0.0,0.0,0.0,1430741301460.1116,346.15095279940886,173.53092826230898,215.78230855924917,52.25658586258373,-41.12252203326533,-116.82335391377562,-705.608758733473,-8.306670761325776,-305.02182537419765,495.1993510005226,2.585484268083549e-07
11,6.430083706879998e-10,1.2383472844799998e-10,2.45115008019624e-07,38580.50224127999,0.0,0.0,38580.50224127999,0.0,0.0,0.0,1430923567345.1262,323.90260676981995,160.5726779391982,240.47088672555878,69.43312699811227,-47.52157807466358,-110.13450751015179,-685.9911725690741,29.58255467690916,-276.37514020681306,456.43124596038547,3.150704662070415e-07
12,7.916100448255998e-10,1.4860167413759998e-10,2.926742014866079e-07,47496.60268953598,0.0,0.0,47496.60268953598,0.0,0.0,0.0,1431159447470.4556,292.741255758361,142.84528091073264,247.67941085622,121.37536880383232,-2.4263133201700557,-87.71570593015925,-627.4514077557114,73.87304094268175,-290.30971790283195,429.8050197453232,3.7894021169394074e-07
13,9.416100448255998e-10,1.5e-10,3.3832230356583486e-07,56496.60268953598,0.0,0.0,56496.60268953598,0.0,0.0,0.0,1431461371799.6462,296.7936010938262,156.824258336776,259.56091485557886,104.23406234456613,0.691455574299941,-70.35742991204978,-601.213643479751,81.37323127268016,-297.48043272236043,423.5415905907361,4.4247145028255117e-07
14,1.0916100448256e-09,1.5e-10,3.813679678270522e-07,65496.60268953598,0.0,0.0,65496.60268953598,0.0,0.0,0.0,1431740417780.4424,280.2169978598404,176.97264294309687,291.227006669128,119.3556813492082,7.059382937411381,-52.094825277839576,-580.7218242435637,80.65736638088151,-287.2722448349552,406.0488602757517,5.033787793239139e-07
15,1.2416100448256e-09,1.5e-10,4.193167153306827e-07,74496.60268953598,0.0,0.0,74496.60268953598,0.0,0.0,0.0,1431953219602.7234,244.63841312465638,173.75192737311633,282.4286242794497,119.29271964511807,26.651299020141092,-52.56086450604594,-520.9114930819868,95.04258560313544,-271.285931727614,370.972839896922,5.590247053084521e-07
16,1.3916100448256001e-09,1.5e-10,4.63178501103223e-07,83496.602689536,0.0,0.0,83496.60268953598,0.0,0.0,0.0,1432322613493.8206,224.3768152060512,173.8613183185492,262.2260957592578,124.900481838528,60.006741309907795,-30.57951407946221,-640.3766935163328,-62.15706818293137,-284.3800880697185,412.5094580318577,6.209011240132308e-07
17,1.5416100448256002e-09,1.5e-10,5.066610211665707e-07,92496.60268953598,0.0,0.0,92496.60268953598,0.0,0.0,0.0,1432667019703.8567,140.05035272903604,208.80582105933934,183.02398779207743,32.13277235264244,47.42441538638926,-118.42409795465238,-576.3130705366221,-66.71521318223029,-187.47153405633787,346.9014163712023,6.729363364689111e-07
18,1.6916100448256003e-09,1.5e-10,5.372460433313011e-07,101496.60268953597,0.0,0.0,101496.60268953598,0.0,0.0,0.0,1431538233469.3093,109.05130593418264,171.53931849644192,178.65014925468984,52.32467698299312,74.64429803007219,-125.64466810442346,-398.85656161072177,74.16130630581281,-183.69257649158664,260.557307504356,7.120199325945645e-07
19,1.8416100448256005e-09,1.5e-10,5.664018761279061e-07,110496.60268953597,0.0,0.0,110496.60268953598,0.0,0.0,0.0,1425905538780.6667,65.72552612033093,171.82297485186584,156.4372495687633,47.67383008862125,85.39535510482162,-176.52319622064198,-345.8336589969265,99.04873131428491,-151.1180147466314,230.18099521344863,7.465470818765818e-07
20,1.9916100448256006e-09,1.5e-10,5.930526676877474e-07,119496.60268953597,0.0,0.0,119496.60268953598,0.0,0.0,0.0,1421493930774.6716,93.20881403201298,183.36934179445024,187.8250122046923,-1.1399410510395804,92.31251803006052,-173.7803995636982,-348.59832461536786,73.21766159642507,-185.51846621713662,239.7371111293957,7.825076485459911e-07
21,2.1416100448256007e-09,1.5e-10,6.219595439583748e-07,128496.60268953598,0.0,0.0,128496.60268953598,0.0,0.0,0.0,1421025008852.8713,9.861605096556517,161.94641121397197,99.2973165962617,-38.28505929925031,80.68080047072772,-237.17334768601475,-265.9882585280225,81.4578277187916,-90.5398551411387,179.75310810057348,8.094706147610772e-07
22,2.2916100448256008e-09,1.5e-10,6.518536959094624e-07,137496.602689536,0.0,0.0,137496.602689536,0.0,0.0,0.0,1421213217278.1592,28.125712646195836,158.05972246013675,131.66121823353544,-1.554464333882944,86.7594382512247,-174.38450424580412,-289.1174281125381,88.13578613360482,-114.88275941110298,182.3529578605651,8.368235584401619e-07
23,2.441610044825601e-09,1.5e-10,6.845069382755173e-07,146496.602689536,0.0,0.0,146496.602689536,0.0,0.0,0.0,1421348823886.3452,31.57436444061798,155.65099519062247,122.3138373150607,-9.437677837709595,66.50472195807235,-180.7267489854234,-272.1194584644623,79.99822108804526,-98.07677746113637,167.37586469888265,8.619299381449943e-07
24,2.591610044825601e-09,1.5e-10,7.18505000081792e-07,155496.602689536,0.0,0.0,155496.602689536,0.0,0.0,0.0,1421466563645.6956,23.12254206773408,145.47205682880116,139.62221332045775,-3.908340403230145,64.11098890137943,-206.54186685750187,-269.87307415443354,60.0501646282355,-87.23131971248505,166.3066839255884,8.868759407338325e-07
25,2.741610044825601e-09,1.5e-10,7.574250264040707e-07,164496.602689536,0.0,0.0,164496.602689536,0.0,0.0,0.0,1421294292277.251,17.765907196398324,185.8866850400686,185.8192842244689,13.429313126686939,43.43685513326868,-182.92690021616363,-299.56314353784876,73.05736553432403,-61.20078180165633,159.82458548769762,9.108496285569871e-07
26,2.891610044825601e-09,1.5e-10,7.989766207701416e-07,173496.60268953603,0.0,0.0,173496.602689536,0.0,0.0,0.0,1421305224752.2214,-38.549581676960386,171.96676117812055,143.32638395262651,-28.929706687525503,51.22614760567496,-220.31813042389456,-263.8725683669584,63.32826056193211,-12.674669692983912,150.75197308725575,9.334624245200755e-07
27,3.0416100448256013e-09,1.5e-10,8.447804258774427e-07,182496.602689536,0.0,0.0,182496.602689536,0.0,0.0,0.0,1421321434384.2983,-46.598771625607846,170.6531147544975,111.47569645202172,-62.90404149151728,32.58801727431463,-232.6715454647611,-244.53966872182772,52.084795514382115,14.012590057132234,151.42326097937433,9.561759136669817e-07
28,3.1916100448256014e-09,1.5e-10,8.96527410756995e-07,191496.602689536,0.0,0.0,191496.602689536,0.0,0.0,0.0,1421424172946.4062,-112.10424326029907,177.67375263494168,39.97828824833031,-135.0459684264051,22.630767913718373,-307.5433250709995,-153.80004162612383,55.9591039582377,89.47527070375638,200.19808024647207,9.862056257039525e-07
29,3.3416100448256015e-09,1.5e-10,9.475769271529974e-07,200496.60268953597,0.0,0.0,200496.602689536,0.0,0.0,0.0,1421558671783.8572,-80.08918812918708,168.22138881454694,71.25261624440792,-104.35827529170648,31.802862973466745,-258.81692837370457,-190.22177559847887,47.12425643043302,48.28808043082388,165.89235789221615,1.011089479387785e-06
30,3.4916100448256016e-09,1.5e-10,1.0008098029669383e-06,209496.60268953597,0.0,0.0,209496.602689536,0.0,0.0,0.0,1421695918553.658,-122.22819816537526,166.18085511703978,69.8138117932112,-105.04950770820751,49.31449290410147,-236.90929662169992,-172.05843536508263,49.871051621247794,72.9154143094111,177.5302118329292,1.0377190111627244e-06
31,3.6416100448256017e-09,1.5e-10,1.0540895441477782e-06,218496.60268953597,0.0,0.0,218496.602689536,0.0,0.0,0.0,1421728338121.2815,-116.51765207229512,141.00907042477988,61.29656332334504,-105.87899448187518,49.150701898090475,-235.62266031433967,-157.7911459039878,67.82632028419269,67.36862396292405,163.0565453076794,1.0621774929588763e-06
32,3.791610044825601e-09,1.5e-10,1.1081291338608452e-06,227496.602689536,0.0,0.0,227496.602689536,0.0,0.0,0.0,1421666583055.9626,-55.69774418048982,130.62967967745786,132.0511396174211,-52.44188803197336,23.342937784897305,-216.4097671541175,-234.61460569538815,31.087173540469536,32.35642685927833,141.85109406306168,1.0834551570683356e-06
33,3.941610044825601e-09,1.5e-10,1.1662801050437134e-06,236496.60268953597,0.0,0.0,236496.602689536,0.0,0.0,0.0,1421655984376.2935,-99.50879275519279,123.2698239101543,116.58427223945047,-86.31125737411678,22.918152421658014,-236.84230856340977,-198.44399439597268,20.237956472188618,76.59220940301563,170.85238391791782,1.1090830146560233e-06
34,4.091610044825601e-09,1.5e-10,1.2331421612564075e-06,245496.60268953597,0.0,0.0,245496.602689536,0.0,0.0,0.0,1421748428811.3596,-190.03950667434742,122.32709810148542,23.09370822127036,-167.69854907484043,35.94053823806031,-303.3396642072529,-115.10789678464074,25.50251846542362,154.10049514890457,264.59154496215876,1.148771746400347e-06
35,4.2416100448256004e-09,1.5e-10,1.300567693941373e-06,254496.60268953597,0.0,0.0,254496.602689536,0.0,0.0,0.0,1421859940208.9458,-187.73992580950224,123.93686098775699,48.69240540127738,-113.70349836803888,51.76374373630759,-256.814832668786,-147.33782751789153,20.537141829471533,135.97767081804884,243.92223620295098,1.1853600818307897e-06
36,4.3916100448256e-09,1.5e-10,1.3709831689349798e-06,263496.602689536,0.0,0.0,263496.602689536,0.0,0.0,0.0,1421770622207.2668,-181.76470237498287,121.27510352384847,48.51173011520579,-115.82328998308766,35.59443947480189,-248.79426240273614,-159.72760009696472,25.59540153154521,146.17172837416373,240.52686208588253,1.221439111143672e-06
37,4.5416100448256e-09,1.5e-10,1.4459397818921976e-06,272496.602689536,0.0,0.0,272496.602689536,0.0,0.0,0.0,1421685461290.532,-232.66648028339281,101.4696490065239,60.631110068967175,-126.05311331034261,54.63815836886554,-259.6156528993268,-170.62342165430871,16.835040066050084,178.02976132331085,288.254697516648,1.2646773157711692e-06
38,4.6916100448255995e-09,1.5e-10,1.51545721908696e-06,281496.602689536,0.0,0.0,281496.602689536,0.0,0.0,0.0,1421196534804.551,-92.27814048531843,110.4291356334206,108.03476031615043,-77.354233427172,-23.74459114626072,-189.27187623913437,-230.3749971611445,20.98470956697556,116.02431955834439,172.68763734172484,1.2905804613724278e-06
39,4.841610044825599e-09,1.5e-10,1.5943465602249754e-06,290496.602689536,0.0,0.0,290496.602689536,0.0,0.0,0.0,1421068078666.3376,-256.7594823112017,120.11535763847819,47.96691654984144,-167.26368316716523,53.40689146699213,-273.91415462088145,-117.67841128880417,16.749139448199827,203.3082805419641,312.7514836774249,1.3374931839240416e-06
40,4.991610044825599e-09,1.5e-10,1.672555361188494e-06,299496.60268953594,0.0,0.0,299496.602689536,0.0,0.0,0.0,1420938757386.756,-278.59445952408623,100.40776193608494,45.68581245530084,-171.50820975212173,77.14084537573444,-242.7167078326601,-94.10948226931693,17.915416746481156,201.45495590126865,319.4970580312524,1.3854177426287296e-06
