step,time(s),dt(s),strain_eq,sigma_vm(Pa),s_xx(Pa),s_yy(Pa),s_zz(Pa),s_yz(Pa),s_zx(Pa),s_xy(Pa),density(1/m^2),Lpxx,Lpxy,Lpxz,Lpyx,Lpyy,Lpyz,Lpzx,Lpzy,Lpzz,epdot_eq(1/s),ep_eq(-)
1,2e-11,2e-11,1.3329802675083777e-08,1600.0,0.0,0.0,1600.0,0.0,0.0,0.0,2055017897449.0588,-279.1844387435041,-892.0687108317356,469.80759553390186,767.5741872130457,396.62681309551397,-453.26209702098424,-674.6646860068552,-186.63787450578002,-120.05026696332715,567.5311974066955,1.1350623948133909e-08
2,4.3999999999999997e-11,2.3999999999999998e-11,2.9152640774573905e-08,3520.0000000000005,0.0,0.0,3520.0,0.0,0.0,0.0,2054973623699.5918,-250.43739745597784,-894.8751845600368,476.9509873444931,769.617521459316,375.0970966158156,-454.0064476770703,-674.5356497154621,-226.4736691869474,-124.752605985585,564.4295762642835,2.489693377847671e-08
3,7.28e-11,2.8799999999999997e-11,4.883261690518496e-08,5824.0,0.0,0.0,5824.0,0.0,0.0,0.0,2054951648359.4858,-280.2450917526127,-883.0596594918354,483.7504479952353,767.6301510877533,384.2284589200107,-448.2962046786098,-667.657490461765,-236.898078732615,-104.07238613031299,574.6409722598634,4.144659377956077e-08
4,1.0735999999999999e-10,3.4559999999999995e-11,7.177261338341236e-08,8588.8,0.0,0.0,8588.8,0.0,0.0,0.0,2054931667806.2842,-245.7295319602402,-872.9695966090085,473.1435030904751,742.2387522825309,348.4157164043892,-452.61441355374734,-668.3336794179813,-233.16808548980055,-102.77311623624672,550.8069988841444,6.04824836609968e-08
5,1.4883199999999998e-10,4.147199999999999e-11,1.0067230918792486e-07,11906.559999999998,0.0,0.0,11906.559999999998,0.0,0.0,0.0,2054920890609.2732,-259.8677944773687,-826.7574308158046,481.38603867242057,727.354100584717,317.1051048508436,-475.86936304644667,-673.6803410499645,-251.3143155520883,-57.32279183151238,553.2931303847009,8.342865636431112e-08
6,1.9859839999999997e-10,4.976639999999999e-11,1.348049038048124e-07,15887.871999999996,0.0,0.0,15887.871999999996,0.0,0.0,0.0,2054893186544.45,-243.07100305735088,-814.008407335861,482.1134635150693,724.0346995126364,297.2470187305315,-469.4412931283075,-659.9185077790667,-254.4510246682082,-54.26049310963138,536.8106423429603,1.1014378951540781e-07
7,2.5831807999999997e-10,5.971967999999998e-11,1.7492112233849372e-07,20665.446399999993,0.0,0.0,20665.446399999993,0.0,0.0,0.0,2054908049954.5383,-232.58796318459113,-819.6623721331224,477.81000835326853,712.7932135207492,311.32833641285583,-458.60823582471886,-664.0035755290826,-256.2290980773907,-78.8054078807359,538.9950672089839,1.4233240245070682e-07
8,3.29981696e-10,7.166361599999998e-11,2.2314930296450685e-07,26398.535679999994,0.0,0.0,26398.535679999994,0.0,0.0,0.0,2054945293512.5156,-244.77010647114378,-817.7956409872646,479.96811831730025,703.2501040026145,333.49976825571497,-466.71109412284994,-651.6059195315246,-242.50072106923298,-88.79539814022101,548.8168668495247,1.8166260365093428e-07
9,4.1597803519999995e-10,8.599633919999998e-11,2.790563860586469e-07,33278.24281599999,0.0,0.0,33278.24281599999,0.0,0.0,0.0,2055033546159.9653,-207.80202617767023,-814.0861372116063,464.52867249724665,692.7192196318383,316.91181417175636,-428.7923953025736,-671.7085250466218,-282.97354049552223,-109.18266370575043,540.1652326050669,2.281148362180865e-07
10,5.191736422399999e-10,1.0319560703999998e-10,3.43996622274291e-07,41533.89137919999,0.0,0.0,41533.89137919999,0.0,0.0,0.0,2055223294211.395,-187.14702022974961,-789.0726276473903,491.9461721252316,679.5010873564721,296.7733411228619,-448.7066068436881,-659.7566191929106,-249.03625012160228,-109.68831642115832,515.5163311075224,2.813138569457609e-07
