step,time(s),dt(s),strain_eq,sigma_vm(Pa),s_xx(Pa),s_yy(Pa),s_zz(Pa),s_yz(Pa),s_zx(Pa),s_xy(Pa),density(1/m^2),Lpxx,Lpxy,Lpxz,Lpyx,Lpyy,Lpyz,Lpzx,Lpzy,Lpzz,epdot_eq(1/s),ep_eq(-)
1,2e-11,2e-11,1.2148317447538646e-08,1200.0,0.0,0.0,1200.0,0.0,0.0,0.0,2055017897449.0574,-279.1844398266532,-892.0687109526112,469.807594139217,767.5741862266365,396.62681342211465,-453.2620949792821,-674.6646852968456,-186.6378749284708,-120.05026620648059,567.531197362211,1.1350623947244218e-08
2,4.3999999999999997e-11,2.3999999999999998e-11,2.655968244924358e-08,2640.0,0.0,0.0,2640.0,0.0,0.0,0.0,2054973623699.9,-250.25063201075648,-894.8957873411753,476.9541762323465,769.6295140765769,375.28652707727855,-453.99883076661547,-674.5438504408096,-226.47363220745444,-125.12880191108289,564.5119538231901,2.489891083900078e-08
3,7.28e-11,2.8799999999999997e-11,4.448812011307995e-08,4368.0,0.0,0.0,4368.0,0.0,0.0,0.0,2054951648370.5103,-279.8359110164352,-883.1052338870093,483.7568819107046,767.6578507958777,384.6444344148604,-448.2781836036218,-667.6749444815922,-236.8979458566297,-104.89754239842048,574.7887221198354,4.1452826036052036e-08
4,1.0735999999999999e-10,3.4559999999999995e-11,6.52431356322172e-08,6441.6,0.0,0.0,6441.6,0.0,0.0,0.0,2054931667865.9065,-245.05197524230465,-873.0449589895595,473.15331698622896,742.2843256236071,349.1031242424813,-452.5853138914762,-668.3618856728067,-233.16765997812152,-104.1380808445843,551.0590631725858,6.04974272592966e-08
5,1.4883199999999998e-10,4.147199999999999e-11,9.12678264407841e-08,8929.92,0.0,0.0,8929.92,0.0,0.0,0.0,2054920890817.41,-258.8716528568971,-826.8683039382759,481.40395026621803,727.4225784945303,318.1162822909632,-475.8233757642658,-673.7223712456981,-251.31731078115814,-59.330110958911455,553.496321259256,8.345202669456047e-08
6,1.9859839999999997e-10,4.976639999999999e-11,1.2184831430971119e-07,11915.903999999999,0.0,0.0,11915.903999999999,0.0,0.0,0.0,2054893187027.7725,-241.6924818607568,-814.163850412118,482.13067007133094,724.1269377782644,298.6447638297836,-469.3866073436833,-659.9765759389275,-254.4504846454623,-57.036759477782155,537.0878987574805,1.1018095789928474e-07
7,2.5831807999999997e-10,5.971967999999998e-11,1.5787468906278257e-07,15499.084799999997,0.0,0.0,15499.084799999997,0.0,0.0,0.0,2054908051313.764,-230.43354333294724,-820.0244566094,477.84257112436273,712.7545488417558,313.18265965534715,-458.67538181664025,-664.0866740296598,-256.3965171196353,-82.81415094907817,539.6307006420195,1.4240753065980193e-07
8,3.29981696e-10,7.166361599999998e-11,2.0131970487115546e-07,19798.901759999997,0.0,0.0,19798.901759999997,0.0,0.0,0.0,2054945282880.735,-242.35907435715313,-818.064659460979,480.0374504045611,703.4035786285759,335.927259898493,-466.6327077988683,-651.7392451361542,-242.49314758363715,-93.6339215343033,549.6037544752251,1.8179412307267274e-07
9,4.1597803519999995e-10,8.599633919999998e-11,2.515833836796474e-07,24958.682111999995,0.0,0.0,24958.682111999995,0.0,0.0,0.0,2055033541615.7483,-204.72942542849668,-814.3894197281279,464.63822139719736,692.9200543129405,319.9739493875398,-428.71962760704287,-671.8711031347726,-282.94228468155615,-115.31739903971723,541.403758236663,2.283528643101476e-07
10,5.191736422399999e-10,1.0319560703999998e-10,3.094650804762436e-07,31150.418534399992,0.0,0.0,31150.418534399992,0.0,0.0,0.0,2055223276972.3857,-183.48613723234968,-789.6384597428787,491.80582985385666,679.6918853184272,301.0451111266872,-448.45788869958903,-660.1286929658081,-248.9818578569103,-117.62096418589748,517.3983188228603,2.817460979025481e-07
