step,time(s),dt(s),strain_eq,sigma_vm(Pa),s_xx(Pa),s_yy(Pa),s_zz(Pa),s_yz(Pa),s_zx(Pa),s_xy(Pa),density(1/m^2),Lpxx,Lpxy,Lpxz,Lpyx,Lpyy,Lpyz,Lpzx,Lpzy,Lpzz,epdot_eq(1/s),ep_eq(-)
1,2e-11,2e-11,1.2148317447059858e-08,1200.0,0.0,0.0,1200.0,0.0,0.0,0.0,2055017897449.057,-279.18443883840047,-892.0687122360287,469.8075979534363,767.574187420569,396.6268132387449,-453.2620982033108,-674.6646851029816,-186.6378750726049,-120.0502670123035,567.5311978564882,1.1350623957129764e-08
2,4.3999999999999997e-11,2.3999999999999998e-11,2.6559689394784723e-08,2640.0,0.0,0.0,2640.0,0.0,0.0,0.0,2054973623699.949,-250.250611874831,-894.8957570430929,476.9541731421938,769.6295110239661,375.2865280240944,-453.99924777105787,-674.5438233783009,-226.4740612082346,-125.12882299431557,564.5122865251261,2.489891883373279e-08
3,7.28e-11,2.8799999999999997e-11,4.448812720173489e-08,4368.0,0.0,0.0,4368.0,0.0,0.0,0.0,2054951648371.9893,-279.83591931391504,-883.1052369644028,483.7568721039521,767.6578527602626,384.64443875191034,-448.27817849598637,-667.6749352980294,-236.89794616211316,-104.89753843779738,574.7887244987852,4.1452834099297805e-08
4,1.0735999999999999e-10,3.4559999999999995e-11,6.524314444463833e-08,6441.6,0.0,0.0,6441.6,0.0,0.0,0.0,2054931667872.3535,-245.05206323972462,-873.0449069790718,473.1532739826543,742.2843167283819,349.10316493520696,-452.5852726983675,-668.3618320858336,-233.16766532308932,-104.13803353991841,551.0590809569218,6.049743593716902e-08
5,1.4883199999999998e-10,4.147199999999999e-11,9.126783552098619e-08,8929.92,0.0,0.0,8929.92,0.0,0.0,0.0,2054920890823.846,-258.87165473083246,-826.8683029089318,481.4039425918602,727.4225756225414,318.1162811773617,-475.8233837179526,-673.7223657078198,-251.31731061182714,-59.33010797125843,553.4963249699954,8.345203552632467e-08
6,1.9859839999999997e-10,4.976639999999999e-11,1.218404546119226e-07,11915.903999999999,0.0,0.0,11915.903999999999,0.0,0.0,0.0,2054893187034.3962,-241.23685026014624,-814.3899025735127,482.1324301055776,723.900887353447,298.6412302564322,-469.61089485288204,-659.974807083476,-254.67476909225903,-57.48885750494861,537.2086615275209,1.1018697665936787e-07
7,2.5831807999999997e-10,5.971967999999998e-11,1.5786641664475165e-07,15499.084799999997,0.0,0.0,15499.084799999997,0.0,0.0,0.0,2054908035838.9272,-230.40731486585685,-820.0229519269267,477.87249243152104,712.7279587330365,313.1823226829133,-458.7028280353425,-664.115788336145,-256.39481337515207,-82.84004240472508,539.6386935736098,1.424140267552019e-07
8,3.29981696e-10,7.166361599999998e-11,2.013109964914146e-07,19798.901759999997,0.0,0.0,19798.901759999997,0.0,0.0,0.0,2054945270462.3066,-242.33481378581774,-818.0644349467545,480.0651873133349,703.3795830604826,335.9276669159213,-466.6584132127305,-651.7673575943205,-242.4930219121838,-93.65858907140893,549.6122845027995,1.8180123046069327e-07
9,4.1597803519999995e-10,8.599633919999998e-11,2.515743990255579e-07,24958.682111999995,0.0,0.0,24958.682111999995,0.0,0.0,0.0,2055033532764.8972,-204.7063873415998,-814.3882137699279,464.66259698802105,692.8976904454269,319.97294650733556,-428.7422555655644,-671.8946267994478,-282.94137913175433,-115.33943418928709,541.4116765523539,2.2836065264433018e-07
10,5.191736422399999e-10,1.0319560703999998e-10,3.094585990193676e-07,31150.418534399992,0.0,0.0,31150.418534399992,0.0,0.0,0.0,2055223272843.07,-183.59063034206565,-789.4036809091607,491.9974698430479,679.9067841969088,300.701179784966,-448.41388993836495,-659.976394884759,-248.9181592786897,-117.17253971568381,517.104348846156,2.8172354982653313e-07
11,6.430083706879998e-10,1.2383472844799998e-10,3.813985453480825e-07,38580.50224127999,0.0,0.0,38580.50224127999,0.0,0.0,0.0,2055522742540.344,-219.9927886245683,-754.8515141065346,493.1591350499729,667.4328003502609,318.51115939841907,-410.7783810460729,-662.182869945133,-276.2646127126946,-98.78024237864193,525.181420631882,3.467592484364171e-07
12,7.916100448255998e-10,1.4860167413759998e-10,4.615062132026132e-07,47496.60268953598,0.0,0.0,47496.60268953598,0.0,0.0,0.0,2055974546852.3076,-158.8952288833046,-702.5008640636769,514.6196368500409,618.7716810405519,249.43394628554907,-405.4823008145182,-644.5909854485789,-276.97892190450267,-90.59576899797187,476.4457329801479,4.17559881992983e-07
13,9.416100448255998e-10,1.5e-10,5.379925194378783e-07,56496.60268953598,0.0,0.0,56496.60268953598,0.0,0.0,0.0,2056494770143.8118,-139.99415728681532,-664.8579115758795,569.6581318880509,611.8764567142238,198.8975561438868,-392.34625904524734,-648.8377905652688,-243.61953261399688,-58.96053120843719,423.79194320560265,4.811286734738234e-07
14,1.0916100448256e-09,1.5e-10,6.049189466980525e-07,65496.60268953598,0.0,0.0,65496.60268953598,0.0,0.0,0.0,2057088652349.132,-83.97088856490286,-605.3300956327541,600.4765020690035,587.8492278995143,175.99910780110417,-357.9936835588525,-632.9692065299455,-223.542771940694,-92.07825946743125,379.717618559854,5.380863162578016e-07
15,1.2416100448256e-09,1.5e-10,6.702614230368014e-07,74496.60268953598,0.0,0.0,74496.60268953598,0.0,0.0,0.0,2057473365772.3074,-66.037347043493,-562.4333617481964,616.6372462210546,547.8001581381138,109.16035773861967,-403.5604732688803,-602.7065614819917,-148.43813220438201,-43.177925552563885,337.3391722445909,5.886871920944902e-07
16,1.3916100448256001e-09,1.5e-10,7.436863321569531e-07,83496.602689536,0.0,0.0,83496.60268953598,0.0,0.0,0.0,2057736100697.5032,-99.8250561367597,-524.1694285105777,612.1907791416631,539.3832452757423,74.16382663570299,-454.11118088415077,-584.1852684668725,-131.2168367184427,25.603366398118844,353.96155714476964,6.417814256662057e-07
17,1.5416100448256002e-09,1.5e-10,8.181648390041861e-07,92496.60268953598,0.0,0.0,92496.60268953598,0.0,0.0,0.0,2058085624426.9368,-106.61016513645072,-486.36125475617285,639.2335020889282,474.89024447598564,17.614866056219565,-474.46195039071614,-563.7729464390862,-53.522596371518304,88.9409367738309,328.51512560670426,6.910586945072113e-07
18,1.6916100448256003e-09,1.5e-10,8.910882069075249e-07,101496.60268953597,0.0,0.0,101496.60268953598,0.0,0.0,0.0,2058552151931.7292,-70.06287300304695,-411.87128649663117,667.5979413980093,463.48247609869236,-15.228732734163728,-495.17064750184187,-585.5656941825581,-31.33837029560742,85.23896478854128,322.18915431885415,7.393870676550394e-07
19,1.8416100448256005e-09,1.5e-10,9.652410491467589e-07,110496.60268953597,0.0,0.0,110496.60268953598,0.0,0.0,0.0,2058157726653.9858,-30.557337288410267,-391.0466723409761,631.5451646674244,468.63634476240895,-111.68672237546959,-517.8546225048335,-543.2717116518968,16.30468418246538,142.18411827041442,332.97282022003793,7.893329906880451e-07
20,1.9916100448256006e-09,1.5e-10,1.0360979940073877e-06,119496.60268953597,0.0,0.0,119496.60268953598,0.0,0.0,0.0,2058213746282.1426,-1.7969080331006,-406.25457995594206,608.096235272694,452.974564729459,-92.66639722210694,-513.2107677371573,-523.3640691221299,22.53576535605344,94.40825598716137,308.2913517122966,8.355766934448896e-07
21,2.1416100448256007e-09,1.5e-10,1.1009689369296901e-06,128496.60268953598,0.0,0.0,128496.60268953598,0.0,0.0,0.0,2057690647380.1956,88.0203632872753,-441.16373715705686,573.5967580701284,488.0316794498008,-117.05954689976359,-496.26234422410135,-476.0674506018453,-28.708003482852813,28.987413780926623,332.60788719059576,8.854678765234789e-07
22,2.2916100448256008e-09,1.5e-10,1.1729090826341938e-06,137496.602689536,0.0,0.0,137496.602689536,0.0,0.0,0.0,2056303980342.886,27.75428391256654,-385.47196808847025,489.7605312829588,429.9255718190278,-67.64427575932582,-559.8723736546618,-441.124650882392,2.5582830006235846,39.840905404467726,331.0625618179596,9.351272607961729e-07
23,2.441610044825601e-09,1.5e-10,1.2374252184691874e-06,146496.602689536,0.0,0.0,146496.602689536,0.0,0.0,0.0,2055275364958.482,86.68949204517698,-367.78771698261835,550.569054583442,413.1220332190941,-111.91687056767768,-502.51389107413013,-466.5435558665034,22.520981681454696,25.180137415661857,305.97258279595013,9.810231482155653e-07
24,2.591610044825601e-09,1.5e-10,1.2994679814951513e-06,155496.602689536,0.0,0.0,155496.602689536,0.0,0.0,0.0,2053857962215.8975,50.63487813536474,-384.5054769236385,527.6508978388155,352.0969355212484,-39.28107692513999,-532.9375189264803,-396.47014732827705,80.70287976751601,-11.398707565910685,277.6379660398817,1.0226688431215477e-06
25,2.741610044825601e-09,1.5e-10,1.371208705516062e-06,164496.602689536,0.0,0.0,164496.602689536,0.0,0.0,0.0,2052917368176.2024,37.59134915382667,-345.436476644608,535.3726268905452,347.5581437400601,-86.03981480157255,-528.4865675004341,-397.47038992173356,18.034338538935764,48.40506338363889,317.22811210597547,1.070253059937444e-06
26,2.891610044825601e-09,1.5e-10,1.4535315498963628e-06,173496.60268953603,0.0,0.0,173496.602689536,0.0,0.0,0.0,2051723950581.8342,14.67527386133417,-308.18997073467256,521.8901988143534,277.1226220547902,-164.55172315303105,-514.5163803769005,-395.28145650457213,10.472677497165671,149.83540093842998,351.44538193760656,1.122969867228085e-06
27,3.0416100448256013e-09,1.5e-10,1.5283503602169933e-06,182496.602689536,0.0,0.0,182496.602689536,0.0,0.0,0.0,2049829559329.0056,35.211648181188934,-303.50382879242045,448.77216287213025,249.24891024722297,-129.37045154644085,-458.02876769642444,-370.83956154419445,-1.797500600995627,94.11885499246523,302.28416492021375,1.168312491966117e-06
28,3.1916100448256014e-09,1.5e-10,1.6007790880350728e-06,191496.602689536,0.0,0.0,191496.602689536,0.0,0.0,0.0,2048669326811.6743,56.25773210210086,-277.392201394186,499.3494055902405,231.1266924560921,-146.36414341909398,-405.40655711718927,-374.9721104468776,-16.168632594541084,90.06738280570532,294.8077939585124,1.212533661059894e-06
