step,time(s),dt(s),strain_eq,sigma_vm(Pa),s_xx(Pa),s_yy(Pa),s_zz(Pa),s_yz(Pa),s_zx(Pa),s_xy(Pa),density(1/m^2),Lpxx,Lpxy,Lpxz,Lpyx,Lpyy,Lpyz,Lpzx,Lpzy,Lpzz,epdot_eq(1/s),ep_eq(-)
1,2e-11,2e-11,7.287101167298752e-09,1200.0,0.0,0.0,1200.0,0.0,0.0,0.0,1430428346485.4185,399.580472343392,203.37479452423557,259.12055941574334,6.340564270116564,-59.625390946664695,-129.59097520742964,-635.0210132871434,109.18988556516896,-343.80881037175334,499.51522026175945,9.990304405235188e-09
2,4.3999999999999997e-11,2.3999999999999998e-11,1.612747263808185e-08,2640.0,0.0,0.0,2640.0,0.0,0.0,0.0,1430424917602.9287,412.14127288870833,211.72976417686405,254.37900463985687,13.486598721864617,-53.19846897301459,-134.66965781147283,-628.3935291828753,119.93753569048715,-358.9235190660406,514.4121262907643,2.233619543621353e-08
3,7.28e-11,2.8799999999999997e-11,2.704330632066913e-08,4368.0,0.0,0.0,4368.0,0.0,0.0,0.0,1430421967866.7356,408.57473008271677,199.4533827060937,240.64174589176145,12.130718496579764,-64.48601902447467,-150.93102325988698,-641.4383958207615,125.30463817706504,-344.0737681554219,511.54000409788324,3.706854755423257e-08
4,1.0735999999999999e-10,3.4559999999999995e-11,4.026985756018638e-08,6441.6,0.0,0.0,6441.6,0.0,0.0,0.0,1430433334720.6501,416.06078248664016,199.83484507296555,237.58690798422037,13.810180399859139,-63.35958162191351,-152.86343733014218,-640.4862871816739,116.77328624158048,-352.6883743537132,520.3507813947884,5.505187055923646e-08
5,1.4883199999999998e-10,4.147199999999999e-11,5.654607973316688e-08,8929.92,0.0,0.0,8929.92,0.0,0.0,0.0,1430447357781.1252,410.9830020784418,202.05209184509033,230.77370502736628,16.447110834149715,-82.01136083827028,-133.4768158903142,-639.1735408190219,97.71587702616375,-328.96031789757575,511.04687857541194,7.624600670751593e-08
6,1.9859839999999997e-10,4.976639999999999e-11,7.596471362361662e-08,11915.903999999999,0.0,0.0,11915.903999999999,0.0,0.0,0.0,1430445856448.574,403.5055519047125,205.76663561291656,229.1331251795438,20.00077036118931,-77.54781567622398,-132.55530545641315,-639.9819769812455,93.35567959580382,-325.94760679603166,507.0991961851732,1.0148250814454572e-07
7,2.5831807999999997e-10,5.971967999999998e-11,9.899806291589635e-08,15499.084799999997,0.0,0.0,15499.084799999997,0.0,0.0,0.0,1430456977381.957,374.84422716014745,200.2649681726164,213.22577411492998,24.59305091760099,-78.2925881266726,-123.70889977033725,-637.2012493347086,88.46613945173013,-296.54252904573946,483.2905184045779,1.3034446325070122e-07
8,3.29981696e-10,7.166361599999998e-11,1.2645945949209325e-07,19798.901759999997,0.0,0.0,19798.901759999997,0.0,0.0,0.0,1430494814014.975,367.53496505465824,199.4756978752743,210.64010973204498,26.8773229165278,-57.33626587855468,-133.72380070913383,-657.9471637136786,69.60739889518722,-310.19050054020573,491.4622035792399,1.6556442188651768e-07
9,4.1597803519999995e-10,8.599633919999998e-11,1.5894140382209664e-07,24958.682111999995,0.0,0.0,24958.682111999995,0.0,0.0,0.0,1430585869067.3872,348.43241982434586,191.57075553834153,215.77208582196616,47.76486256933225,-40.19897965559568,-129.5920705329939,-674.4501178224413,41.05775192527378,-308.22607383266535,487.0161681733452,2.074460294806369e-07
10,5.191736422399999e-10,1.0319560703999998e-10,1.9918822926520502e-07,31150.418534399992,0.0,0.0,31150.418534399992,0.0,0.0,0.0,1430741301460.4717,346.152495100898,173.5324303670778,215.78230339083348,52.25508040272162,-41.12405976697308,-116.8233571811887,-705.610265657739,-8.308208697345904,-305.02182994199313,495.2007846023332,2.5854857505435894e-07
11,6.430083706879998e-10,1.2383472844799998e-10,2.4511505788588945e-07,38580.50224127999,0.0,0.0,38580.50224127999,0.0,0.0,0.0,1430923567344.1475,323.90167130355474,160.57172282708433,240.47087949948025,69.43407362237672,-47.520643666313816,-110.1345047297785,-685.9902279778955,29.583488581063037,-276.37513914888996,456.4303765987036,3.150705067958778e-07
12,7.916100448255998e-10,1.4860167413759998e-10,2.9267424619800606e-07,47496.60268953598,0.0,0.0,47496.60268953598,0.0,0.0,0.0,1431159447467.064,292.7412421099915,142.84526008094946,247.67940851174245,121.37539262724529,-2.426298106024714,-87.7157065349811,-627.4513658118352,73.87307688026054,-290.309719468586,429.8050027667212,3.7894024975972834e-07
13,9.416100448255998e-10,1.5e-10,3.383223486213846e-07,56496.60268953598,0.0,0.0,56496.60268953598,0.0,0.0,0.0,1431461371797.9502,296.79355915716235,156.82422380892143,259.5609095663569,104.23409856413697,0.6914974616939649,-70.35743184912357,-601.2137250651007,81.37315147465107,-297.48043267308935,423.5415940203475,4.4247148886278047e-07
14,1.0916100448256e-09,1.5e-10,3.8136800354177915e-07,65496.60268953598,0.0,0.0,65496.60268953598,0.0,0.0,0.0,1431740417776.3516,280.2169441003244,176.9725835595092,291.2270038080218,119.35574101242396,7.059437047959016,-52.094825926323274,-580.721777856546,80.65740694948079,-287.2722451859479,406.048826995304,5.033788129120761e-07
15,1.2416100448256e-09,1.5e-10,4.193167478417938e-07,74496.60268953598,0.0,0.0,74496.60268953598,0.0,0.0,0.0,1431953219595.088,244.6383929076136,173.75186962032012,282.4286202445794,119.29277950610602,26.65132215702434,-52.56086743207699,-520.911490051497,95.04261099603484,-271.2859346474424,370.9728351683605,5.590247381873301e-07
16,1.3916100448256001e-09,1.5e-10,4.638087005298707e-07,83496.602689536,0.0,0.0,83496.60268953598,0.0,0.0,0.0,1432322435478.3176,233.07677383574844,183.61847425311743,261.58502656572136,115.17604940041481,50.8414793692316,-31.243051316043605,-635.2904642162443,-57.56684768790084,-283.91478467925657,413.05996603689533,6.209837330928645e-07
