step,time(s),dt(s),strain_eq,sigma_vm(Pa),s_xx(Pa),s_yy(Pa),s_zz(Pa),s_yz(Pa),s_zx(Pa),s_xy(Pa),density(1/m^2),Lpxx,Lpxy,Lpxz,Lpyx,Lpyy,Lpyz,Lpzx,Lpzy,Lpzz,epdot_eq(1/s),ep_eq(-)
1,2e-11,2e-11,1.9142506474151874e-08,2771.2812921102036,0.0,0.0,0.0,0.0,0.0,1600.0,2055017897449.0574,-279.18443871704557,-892.0687109232185,469.80759447296543,767.5741862385618,396.6268128223491,-453.2620940722469,-674.6646848538326,-186.6378747251781,-120.05026671651567,567.5311962770168,1.1350623925540334e-08
2,4.3999999999999997e-11,2.3999999999999998e-11,4.207196931878415e-08,6096.818842642448,0.0,0.0,0.0,0.0,0.0,3520.0,2054973623660.1436,-249.64215054885838,-894.1995979914312,476.99409989321975,770.4125068370686,375.77220567187055,-453.96342980319844,-674.5986006697512,-226.4526194875138,-126.22296210476519,564.5804232328366,2.490055408312841e-08
3,7.28e-11,2.8799999999999997e-11,6.993761754177191e-08,10087.463903281141,0.0,0.0,0.0,0.0,0.0,5824.0,2054951648279.9207,-278.4976593985913,-881.5766953211138,483.84767126467926,769.3788420023386,385.71050064879194,-448.19910449764967,-667.7989854995024,-236.8534059588156,-107.30186056010359,574.8674740443969,4.145673733560704e-08
4,1.0735999999999999e-10,3.4559999999999995e-11,1.0265299109599185e-07,14876.23797604757,0.0,0.0,0.0,0.0,0.0,8588.8,2054931667682.8486,-242.84183205088044,-870.5205792402515,473.3010884939,745.1272830618157,350.8673488692806,-452.46285399592716,-668.5618715044611,-233.089902707629,-108.11244917423271,551.1713410117005,6.050521888097141e-08
5,1.4883199999999998e-10,4.147199999999999e-11,1.4262585061590808e-07,20622.766863367287,0.0,0.0,0.0,0.0,0.0,11906.559999999998,2054920890928.4863,-255.61176179835098,-823.1636941662902,481.6318137862214,731.607669264897,320.6939750723692,-475.6319558728908,-674.0132993546157,-251.21394611340793,-65.16769558840943,553.3400885684675,8.34533390340829e-08
6,1.9859839999999997e-10,4.976639999999999e-11,1.9044055826910177e-07,27518.601528150946,0.0,0.0,0.0,0.0,0.0,15887.871999999996,2054893188430.4382,-236.08254871829962,-809.238663993871,482.08590110130416,729.6955618829852,301.5907626016829,-469.68343667824263,-660.6955603000018,-254.81960395792376,-65.59269252329754,537.0046212589626,1.1017812581750493e-07
7,2.5831807999999997e-10,5.971967999999998e-11,2.475668008060801e-07,35793.603125891335,0.0,0.0,0.0,0.0,0.0,20665.446399999993,2054908045050.6729,-225.6641499303579,-813.6842619823767,478.31097086864406,720.6321942169657,318.2827570756889,-457.78387095248775,-664.3834391098081,-255.36812065445767,-92.68364269677284,539.5999670014206,1.4240286317484032e-07
8,3.29981696e-10,7.166361599999998e-11,3.164739606486815e-07,45723.60504317981,0.0,0.0,0.0,0.0,0.0,26398.535679999994,2054945292560.3103,-234.3812796105913,-809.2528779034051,480.65332522513904,713.8316924562793,342.23525436677545,-465.9771967423572,-652.4781984832991,-242.09313960333967,-107.91971041778446,549.9712191970056,1.8181578943842634e-07
9,4.1597803519999995e-10,8.599633919999998e-11,3.98659173798984e-07,57639.60734392597,0.0,0.0,0.0,0.0,0.0,33278.24281599999,2055033608586.0188,-194.08886077956367,-802.9230513587577,465.26751487924133,706.091144443553,327.81360494293654,-428.0377952122392,-672.9517719365173,-282.8238778597447,-133.79761824588383,542.8018617305014,2.2849476245819402e-07
10,5.191736422399999e-10,1.0319560703999998e-10,4.968144064802631e-07,71938.81010482137,0.0,0.0,0.0,0.0,0.0,41533.89137919999,2055223444602.1414,-170.96440065664262,-775.316559855631,492.6931871618651,695.824558655328,311.02123849807117,-447.66932213342204,-661.3354557409476,-248.3986383608051,-140.11882041360275,519.7635489587672,2.8213207741025873e-07
