step,time(s),dt(s),strain_eq,sigma_vm(Pa),s_xx(Pa),s_yy(Pa),s_zz(Pa),s_yz(Pa),s_zx(Pa),s_xy(Pa),density(1/m^2),Lpxx,Lpxy,Lpxz,Lpyx,Lpyy,Lpyz,Lpzx,Lpzy,Lpzz,epdot_eq(1/s),ep_eq(-)
1,2e-11,2e-11,1.0758054396670808e-08,1600.0,0.0,0.0,1600.0,0.0,0.0,0.0,956686211770.9614,-189.92740391723808,53.501330203328784,172.64722713786614,11.593142940687539,196.93423489373833,-186.54080531110097,-151.56281954106214,322.38879950513893,-7.0068309758946175,240.10118341277547,4.802023668255509e-09
2,4.3999999999999997e-11,2.3999999999999998e-11,2.383103294660428e-08,3520.0000000000005,0.0,0.0,3520.0,0.0,0.0,0.0,956689444586.7172,-192.91595570501747,51.023706229245136,172.6512934242068,13.043568734423205,192.67223964657006,-182.75110450185636,-149.9568317792361,326.06000174575263,0.24371605843584476,240.71804317287368,1.0579256704404476e-08
3,7.28e-11,2.8799999999999997e-11,3.963457702398572e-08,5824.0,0.0,0.0,5824.0,0.0,0.0,0.0,956696314703.2874,-197.41235576614804,51.49170768697523,173.34649573837694,17.216160690575236,193.90823324880452,-184.87118581464154,-149.94165273861768,322.8311165179082,3.504122517378575,243.22153162863674,1.7584036815309213e-08
4,1.0735999999999999e-10,3.4559999999999995e-11,5.849761355176173e-08,8588.8,0.0,0.0,8588.8,0.0,0.0,0.0,956708119217.5488,-195.67892276714488,49.266708726240466,170.5662156872928,15.3308889260004,195.62712845643188,-180.7331664322888,-149.8567622777468,323.02020432656815,0.051794310711534015,243.5622890951658,2.6001549526438142e-08
5,1.4883199999999998e-10,4.147199999999999e-11,8.068823721961674e-08,11906.559999999998,0.0,0.0,11906.559999999998,0.0,0.0,0.0,956727912184.8099,-179.97110621879776,45.05943152276732,169.36869419453893,42.82838541207473,185.41599084765326,-186.45050578099324,-136.2479617806074,319.09095089250883,-5.44488462887227,230.94834196496677,3.557943916440924e-08
6,1.9859839999999997e-10,4.976639999999999e-11,1.07230465603969e-07,15887.871999999996,0.0,0.0,15887.871999999996,0.0,0.0,0.0,956761195547.3008,-168.2620112157377,48.69636589642287,167.1032552662276,45.50004778702018,169.40736325376054,-181.42933092487877,-143.08834300839317,320.46981517114125,-1.1453520380030229,218.17919131568905,4.643743207110235e-08
7,2.5831807999999997e-10,5.971967999999998e-11,1.3876672693076162e-07,20665.446399999993,0.0,0.0,20665.446399999993,0.0,0.0,0.0,956797644027.9293,-164.4145596504962,43.98994487012242,175.7745441490914,51.99957619576712,170.97721275152938,-184.53803626337498,-140.5229609474745,319.4916760866714,-6.562653101038336,217.01458738710107,5.939747378519206e-08
8,3.29981696e-10,7.166361599999998e-11,1.756867837419787e-07,26398.535679999994,0.0,0.0,26398.535679999994,0.0,0.0,0.0,956859652529.0848,-145.56339873521392,48.852905446389144,182.28095921269764,56.4161610802757,158.62892145661158,-186.15540576316351,-140.67053043170432,311.10824495332827,-13.06552272136529,201.222354198907,7.381779530711851e-08
9,4.1597803519999995e-10,8.599633919999998e-11,2.1969686175068389e-07,33278.24281599999,0.0,0.0,33278.24281599999,0.0,0.0,0.0,956911021200.5563,-135.57959700686385,45.156350713524866,176.80477787711087,43.82163524282516,147.14051119783247,-187.59364167311003,-149.58853048721326,320.70258890429244,-11.56091419096847,188.59782760669881,9.00365180623673e-08
10,5.191736422399999e-10,1.0319560703999998e-10,2.7171348305498723e-07,41533.89137919999,0.0,0.0,41533.89137919999,0.0,0.0,0.0,957007439413.1438,-129.1374346395619,49.90530675122827,179.01876988504057,54.09820907487628,148.8881743928823,-190.88516374121647,-148.65170042835868,318.5854531386989,-19.750739753295377,188.4275002611952,1.094814083348511e-07
11,6.430083706879998e-10,1.2383472844799998e-10,3.3480663713805694e-07,51440.66965503999,0.0,0.0,51440.66965503999,0.0,0.0,0.0,957161456047.6749,-134.44770010938493,48.94505982659661,185.8196303557654,47.692986836105895,150.6941605931146,-187.19787422318743,-158.93318720632806,327.1928638844702,-16.246460483733664,193.00959663352262,1.3338269932182137e-07
12,7.916100448255998e-10,1.4860167413759998e-10,4.100310618328385e-07,63328.80358604799,0.0,0.0,63328.80358604799,0.0,0.0,0.0,957381531156.7024,-128.1434976733972,48.12828983881561,182.48459800194183,50.05540191517001,146.6744478460533,-181.021425301781,-149.77393376877498,327.50327230755926,-18.530950172657302,190.36985747545666,1.6167197884801052e-07
13,9.416100448255998e-10,1.5e-10,4.857225107349669e-07,75328.80358604799,0.0,0.0,75328.80358604799,0.0,0.0,0.0,957632682770.824,-127.33996283795179,49.555112942886495,191.93887295963333,52.039820679739464,148.79869776284872,-180.13722085723572,-160.22639944679477,332.3606723174996,-21.458734924881135,193.33320328791368,1.9067195934119756e-07
14,1.0916100448256e-09,1.5e-10,5.593613330348326e-07,87328.80358604799,0.0,0.0,87328.80358604799,0.0,0.0,0.0,957876708391.6532,-108.08718790624006,34.92106232402197,209.800154212154,71.27436172865039,139.25169574926443,-165.3813775565687,-168.37702966676204,320.53969920623683,-31.16450784299979,183.6279309992661,2.1821614899108748e-07
15,1.2416100448256e-09,1.5e-10,6.290731855607865e-07,99328.803586048,0.0,0.0,99328.80358604799,0.0,0.0,0.0,958080425446.7506,-86.2680092404744,25.964810359811374,246.53290584922448,113.08275540939054,150.64221781145048,-127.8908104240889,-200.1805140444206,324.83323865424495,-64.37420857098365,207.2258523759137,2.4930002684747455e-07
16,1.3916100448256001e-09,1.5e-10,7.044050194963172e-07,111328.80358604799,0.0,0.0,111328.80358604799,0.0,0.0,0.0,958271515093.9037,-114.71356885972322,6.368442966631329,209.52649258748474,117.19870446111517,138.11352562692656,-146.53762061924246,-195.01884214329178,323.1407081037396,-23.39995676721281,193.41852375145925,2.783128054101934e-07
17,1.5416100448256002e-09,1.5e-10,7.828967305231702e-07,123328.80358604799,0.0,0.0,123328.80358604799,0.0,0.0,0.0,958468809408.645,-143.72463999538164,2.542094343299709,185.1085402709813,76.3090610622781,145.62696574851563,-184.37503627860718,-148.10133911769393,329.3962718043541,-1.902325753137635,193.5229570152626,3.073412489624828e-07
18,1.6916100448256003e-09,1.5e-10,8.616191791527629e-07,135328.803586048,0.0,0.0,135328.803586048,0.0,0.0,0.0,958636848508.2057,-144.64699957571824,-7.092312171973207,188.67414583627055,93.85455763501184,147.03623656061103,-173.60547132487446,-166.52900128359704,331.722659115802,-2.389236984888474,198.42326421317162,3.371047385944586e-07
19,1.8416100448256005e-09,1.5e-10,9.398054089286852e-07,147328.803586048,0.0,0.0,147328.803586048,0.0,0.0,0.0,958827911385.9683,-122.43492016727393,-1.058934690687729,186.0167698313798,88.67999802352472,117.34341995294557,-169.85161539833197,-176.8570851851869,321.1785012466327,5.091500214321356,171.49596638312366,3.6282913355192715e-07
20,1.9916100448256006e-09,1.5e-10,1.021253017440269e-06,159328.803586048,0.0,0.0,159328.803586048,0.0,0.0,0.0,958947673019.3802,-138.51378647818237,27.26675490256169,155.2795070299038,30.572826034355632,103.07877656729055,-199.13203967101867,-170.15075539175098,303.1840046613975,35.43500991085898,159.7156524057553,3.867864814127904e-07
21,2.1416100448256007e-09,1.5e-10,1.101154726232033e-06,171328.803586048,0.0,0.0,171328.803586048,0.0,0.0,0.0,958885939114.1978,-111.77263722741678,-3.5132247384879807,153.4958425061789,21.727015850569618,74.84942030613243,-182.2081240679317,-192.9794865558473,289.23386386149656,36.92321692129362,131.98860242962988,4.065847717772349e-07
22,2.2916100448256008e-09,1.5e-10,1.1883957496401556e-06,183328.803586048,0.0,0.0,183328.803586048,0.0,0.0,0.0,958988673015.8569,-158.10019888394254,18.82389116518619,124.70427490603937,-10.8378384310647,76.99481668999447,-206.3914613106658,-128.68418362877412,294.59258422655654,81.1053821939526,166.19563793466205,4.315141174674342e-07
23,2.441610044825601e-09,1.5e-10,1.2734829929197023e-06,195328.803586048,0.0,0.0,195328.803586048,0.0,0.0,0.0,959069499559.8959,-129.90544747685698,28.79101437939118,132.797400431793,-3.7808684168313595,58.185410073935,-187.08623834584645,-155.438932605301,286.07512268107996,71.72003740295942,143.46475477923656,4.530338306843197e-07
