step,time(s),dt(s),strain_eq,sigma_vm(Pa),s_xx(Pa),s_yy(Pa),s_zz(Pa),s_yz(Pa),s_zx(Pa),s_xy(Pa),density(1/m^2),Lpxx,Lpxy,Lpxz,Lpyx,Lpyy,Lpyz,Lpzx,Lpzy,Lpzz,epdot_eq(1/s),ep_eq(-)
1,2e-11,2e-11,1.914250648611057e-08,2771.2812921102036,0.0,0.0,0.0,0.0,0.0,1600.0,2055017897449.0574,-279.18443879797115,-892.0687113604283,469.8075979545334,767.574186842284,396.6268125896749,-453.2620978401549,-674.6646850196984,-186.637874688365,-120.05026640311401,567.5311971421212,1.1350623942842423e-08
2,4.3999999999999997e-11,2.3999999999999998e-11,4.2071969150740896e-08,6096.818842642448,0.0,0.0,0.0,0.0,0.0,3520.0,2054973623660.1846,-249.6421661674373,-894.1996004609208,476.9940786583471,770.4125008602266,375.77220561121976,-453.9634145162637,-674.5985961058371,-226.45260770734365,-126.22294642532532,564.5804171617974,2.4900553954725562e-08
3,7.28e-11,2.8799999999999997e-11,6.993761754262694e-08,10087.463903281141,0.0,0.0,0.0,0.0,0.0,5824.0,2054951648280.06,-278.4976600307529,-881.5766797662712,483.847676357098,769.3788451988507,385.710492521212,-448.19911790810255,-667.7989872322296,-236.8533928149551,-107.30185180004631,574.8674680506289,4.145673703458367e-08
4,1.0735999999999999e-10,3.4559999999999995e-11,1.0265299117576484e-07,14876.23797604757,0.0,0.0,0.0,0.0,0.0,8588.8,2054931667683.2307,-242.84183182018057,-870.5205800033425,473.30108932105134,745.1272860269864,350.86735054946774,-452.4628564043134,-668.561879898272,-233.08990114409417,-108.11245108519161,551.1713429837016,6.05052186481004e-08
5,1.4883199999999998e-10,4.147199999999999e-11,1.4262585050821133e-07,20622.766863367287,0.0,0.0,0.0,0.0,0.0,11906.559999999998,2054920890928.9556,-255.6117642837857,-823.1637023086633,481.63180452927867,731.6076711923885,320.69397157408355,-475.6319584982334,-674.0132942126424,-251.21393867619832,-65.16768960468532,553.340086225202,8.345333870403197e-08
6,1.9859839999999997e-10,4.976639999999999e-11,1.9045960750916517e-07,27518.601528150946,0.0,0.0,0.0,0.0,0.0,15887.871999999996,2054893188430.7676,-237.62423872833625,-808.7865183196061,482.397534648954,730.1477098583601,302.22815193293644,-468.9196545278712,-660.3839241354817,-254.05581419857472,-64.68839184446844,536.8240527403632,1.1016913924232997e-07
7,2.5831807999999997e-10,5.971967999999998e-11,2.4760301066903e-07,35793.603125891335,0.0,0.0,0.0,0.0,0.0,20665.446399999993,2054908074560.4934,-224.40759104712976,-813.1743598402754,478.2113338261862,720.5094901802286,317.9568198098672,-458.28035388204427,-664.6126725246374,-256.1996138921684,-93.6142643900413,539.8307558390455,1.424076592351959e-07
8,3.29981696e-10,7.166361599999998e-11,3.1650572086339546e-07,45723.60504317981,0.0,0.0,0.0,0.0,0.0,26398.535679999994,2054945308582.0444,-234.53790095978562,-809.1599801352484,480.5022175532194,713.4874241747694,342.1549091863699,-466.12675387925566,-652.4241580492981,-242.18182757158138,-107.68274394673664,550.0783588321917,1.818282635124563e-07
9,4.1597803519999995e-10,8.599633919999998e-11,3.986756480828593e-07,57639.60734392597,0.0,0.0,0.0,0.0,0.0,33278.24281599999,2055033585796.2397,-194.74100918874356,-803.0757481824014,465.2922060474616,705.7600300591986,327.9829914280155,-428.02183425538806,-672.8257169907372,-282.6438227933729,-133.314856393975,542.870669616425,2.285131537585215e-07
10,5.191736422399999e-10,1.0319560703999998e-10,4.968350090572982e-07,71938.81010482137,0.0,0.0,0.0,0.0,0.0,41533.89137919999,2055223381356.8877,-170.83626944054217,-775.2650538158553,492.6504948708616,695.8659497943794,310.9896917274264,-447.7319899236795,-661.3449404180091,-248.4188462600859,-140.21540488818584,519.7781509347061,2.8215197557035724e-07
